# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 101
1.5	0.000181735	-2.90872e-05	2.58387e-05	-6.25852e-07
1.4	0.000202418	-3.59418e-05	2.93256e-05	-1.2517e-06
1.3	0.000225545	-4.45249e-05	3.32894e-05	-2.05637e-06
1.2	0.000248196	-5.37636e-05	3.68359e-05	-2.92064e-06
1.1	0.000271382	-6.40755e-05	3.98757e-05	-3.42728e-06
1	0.000296356	-7.70097e-05	4.3005e-05	-4.20216e-06
0.9	0.00032294	-9.22685e-05	4.53296e-05	-4.52998e-06
0.799999999999999	0.00034851	-0.000109077	4.8727e-05	-5.27504e-06
0.699999999999999	0.000377776	-0.00012833	5.49259e-05	-6.40753e-06
0.6	0.000412228	-0.000153006	6.44927e-05	-9.23878e-06
0.5	0.000450971	-0.000184895	7.68011e-05	-1.37687e-05
0.399999999999999	0.000496034	-0.000224532	9.36692e-05	-1.94908e-05
0.299999999999999	0.000540022	-0.000270607	0.000115484	-2.84017e-05
0.199999999999999	0.00057495	-0.000308456	0.000140638	-3.94883e-05
0.0999999999999996	0.000601355	-0.000342252	0.000164569	-5.04258e-05
0	0.00061119	-0.000369193	0.000164838	-5.17371e-05
