# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 101
10	0.000214578	-9.05996e-06	3.98161e-05	5.9605e-07
9.9	0.000242234	-1.00136e-05	3.73127e-05	3.5763e-07
9.8	0.000266554	-1.00136e-05	4.00546e-05	4.76841e-07
9.7	0.000234605	-8.58313e-06	3.94585e-05	5.9605e-07
9.6	0.00020218	-6.67575e-06	3.49286e-05	4.76841e-07
9.5	0.000175	-5.72208e-06	3.14715e-05	3.5763e-07
9.4	0.000159741	-5.24524e-06	2.9564e-05	3.5763e-07
9.3	0.000154019	-4.7684e-06	2.88488e-05	3.5763e-07
9.2	0.000152589	-4.7684e-06	2.87296e-05	3.5763e-07
9.1	0.000154496	-4.7684e-06	2.88488e-05	3.5763e-07
9	0.000158311	-5.24524e-06	2.94448e-05	3.5763e-07
8.9	0.000164987	-5.72208e-06	3.02793e-05	3.5763e-07
8.8	0.000174523	-5.72208e-06	3.14715e-05	3.5763e-07
8.7	0.000185491	-6.19891e-06	3.26636e-05	3.5763e-07
8.6	0.000195981	-6.67575e-06	3.40941e-05	5.9605e-07
8.5	0.000206948	-7.15259e-06	3.56438e-05	4.76841e-07
8.4	0.000216962	-8.10629e-06	3.76704e-05	4.76841e-07
8.3	0.000226499	-8.10629e-06	3.87433e-05	5.9605e-07
8.2	0.000234605	-8.58313e-06	3.98161e-05	5.9605e-07
8.1	0.000241757	-9.05996e-06	4.04122e-05	5.9605e-07
8	0.000248911	-9.5368e-06	4.04122e-05	7.15259e-07
7.9	0.00025654	-1.00136e-05	4.01738e-05	5.9605e-07
7.8	0.000264646	-1.00136e-05	4.04122e-05	5.9605e-07
7.7	0.000270845	-1.09673e-05	4.05314e-05	3.5763e-07
7.6	0.000273706	-1.09673e-05	3.98161e-05	3.5763e-07
7.5	0.000272276	-1.09673e-05	3.92201e-05	3.5763e-07
7.4	0.000270369	-1.09673e-05	3.8624e-05	3.5763e-07
7.3	0.000267508	-1.14442e-05	3.81472e-05	3.5763e-07
7.2	0.000259401	-1.04905e-05	3.83856e-05	3.5763e-07
7.1	0.000251295	-1.00136e-05	3.92201e-05	3.5763e-07
7	0.000245573	-1.00136e-05	3.94585e-05	3.5763e-07
6.9	0.00023985	-9.5368e-06	3.85048e-05	3.5763e-07
6.8	0.000233651	-9.5368e-06	3.60014e-05	3.5763e-07
6.7	0.000225545	-9.05996e-06	3.21867e-05	3.5763e-07
6.6	0.000217439	-8.58313e-06	2.90872e-05	4.76841e-07
6.5	0.000207425	-8.10629e-06	2.75375e-05	4.76841e-07
6.4	0.000195504	-8.10629e-06	2.69414e-05	3.5763e-07
6.3	0.00018263	-7.15259e-06	2.70606e-05	4.76841e-07
6.2	0.000176431	-6.67575e-06	2.77759e-05	4.76841e-07
6.1	0.000170232	-6.19891e-06	2.96832e-05	4.76841e-07
6	0.000166894	-6.19891e-06	3.40941e-05	4.76841e-07
5.9	0.000181676	-6.67575e-06	4.0889e-05	4.76841e-07
5.8	0.000210286	-8.10629e-06	4.51806e-05	5.9605e-07
5.7	0.000236512	-9.05996e-06	4.92337e-05	5.9605e-07
5.6	0.000255587	-1.04905e-05	5.29292e-05	7.15259e-07
5.5	0.000277521	-1.1921e-05	5.51941e-05	8.34469e-07
5.4	0.000306608	-1.38283e-05	5.69823e-05	9.53682e-07
5.3	0.000335695	-1.62126e-05	6.03201e-05	1.1921e-06
