# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 34	21
2.5	0.5	0.000156165	-9.5368e-06	2.95342e-05	-8.34469e-07
2.5	0.4	0.000167728	-1.09673e-05	3.20377e-05	-9.83484e-07
2.5	0.3	0.000183583	-1.31131e-05	3.54352e-05	-1.2517e-06
2.5	0.2	0.000201822	-1.57357e-05	3.99353e-05	-1.57953e-06
2.5	0.0999999999999999	0.000221611	-1.9312e-05	4.62534e-05	-1.96697e-06
2.5	0	0.000272157	-2.88488e-05	5.53431e-05	-3.03985e-06

2.75	2	0.000189424	-1.45436e-05	3.66869e-05	-1.37091e-06
2.75	1.9	0.000131727	-6.67575e-06	2.54215e-05	-5.36445e-07
2.75	1.8	0.000111223	-4.64919e-06	2.34843e-05	-3.87432e-07
2.75	1.7	0.000104309	-4.17235e-06	2.31565e-05	-3.5763e-07
2.75	1.6	9.8825e-05	-3.57629e-06	2.26499e-05	-3.27827e-07
2.75	1.5	9.64408e-05	-3.57629e-06	2.24711e-05	-3.27827e-07
2.75	1.4	9.83481e-05	-3.6955e-06	2.26201e-05	-2.68223e-07
2.75	1.3	0.000102163	-3.81473e-06	2.30075e-05	-3.27827e-07
2.75	1.2	0.000105501	-4.17235e-06	2.32459e-05	-3.87432e-07
2.75	1.1	0.000108362	-4.29156e-06	2.34247e-05	-3.87432e-07
2.75	1	0.000112653	-4.7684e-06	2.35738e-05	-4.47037e-07
2.75	0.9	0.000119687	-5.48366e-06	2.37228e-05	-4.47037e-07
2.75	0.8	0.000127555	-6.31812e-06	2.44976e-05	-5.06643e-07
2.75	0.7	0.0001328	-6.91417e-06	2.60175e-05	-5.9605e-07
2.75	0.6	0.000141383	-7.86787e-06	2.77461e-05	-6.85457e-07
2.75	0.5	0.000156165	-9.5368e-06	2.9564e-05	-8.34469e-07
2.75	0.4	0.000167728	-1.10865e-05	3.21271e-05	-9.83484e-07
2.75	0.3	0.000183583	-1.31131e-05	3.5465e-05	-1.2219e-06
