# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 171
17	2.55109e-05	0	3.45708e-06	2.98025e-08
16.9	2.45572e-05	-1.1921e-07	3.30807e-06	0
16.8	2.43188e-05	0	3.18886e-06	0
16.7	2.39612e-05	1.1921e-07	3.12926e-06	0
16.6	2.37228e-05	0	3.09946e-06	2.98025e-08
16.5	2.37228e-05	-1.1921e-07	3.09946e-06	2.98025e-08
16.4	2.34843e-05	-1.1921e-07	3.09946e-06	0
16.3	2.34843e-05	0	3.03985e-06	2.98025e-08
16.2	2.34843e-05	0	3.03985e-06	0
16.1	2.37228e-05	1.1921e-07	3.03985e-06	0
16	2.34843e-05	-1.1921e-07	3.03985e-06	0
15.9	2.34843e-05	-1.1921e-07	3.03985e-06	-5.96051e-08
15.8	2.34843e-05	-1.1921e-07	3.03985e-06	0
15.7	2.37228e-05	1.1921e-07	3.06965e-06	2.98025e-08
15.6	2.37228e-05	0	3.06965e-06	0
15.5	2.3842e-05	0	3.06965e-06	2.98025e-08
15.4	2.3842e-05	0	3.09946e-06	0
15.3	2.3842e-05	0	3.12926e-06	0
15.2	2.39612e-05	0	3.09946e-06	2.98025e-08
15.1	2.39612e-05	1.1921e-07	3.12926e-06	0
15	2.40804e-05	0	3.15906e-06	0
14.9	2.40804e-05	0	3.15906e-06	0
14.8	2.40804e-05	0	3.12926e-06	0
14.7	2.40804e-05	0	3.15906e-06	0
14.6	2.43188e-05	-1.1921e-07	3.18886e-06	2.98025e-08
14.5	2.43188e-05	0	3.24847e-06	2.98025e-08
14.4	2.4438e-05	-2.3842e-07	3.21867e-06	0
14.3	2.4438e-05	-2.3842e-07	3.24847e-06	2.98025e-08
14.2	2.45572e-05	0	3.27827e-06	2.98025e-08
14.1	2.45572e-05	0	3.27827e-06	2.98025e-08
14	2.46764e-05	0	3.27827e-06	0
13.9	2.49149e-05	0	3.30807e-06	0
13.8	2.49149e-05	-1.1921e-07	3.30807e-06	0
13.7	2.49149e-05	-1.1921e-07	3.30807e-06	0
13.6	2.49149e-05	0	3.33787e-06	0
13.5	2.51533e-05	-1.1921e-07	3.33787e-06	2.98025e-08
13.4	2.51533e-05	0	3.33787e-06	0
13.3	2.51533e-05	0	3.39748e-06	2.98025e-08
13.2	2.53917e-05	0	3.42728e-06	0
13.1	2.53917e-05	-1.1921e-07	3.42728e-06	0
13	2.55109e-05	-1.1921e-07	3.45708e-06	0
12.9	2.55109e-05	0	3.45708e-06	0
12.8	2.56301e-05	-2.3842e-07	3.48689e-06	0
12.7	2.56301e-05	-1.1921e-07	3.48689e-06	2.98025e-08
12.6	2.57493e-05	0	3.54649e-06	2.98025e-08
12.5	2.58685e-05	0	3.54649e-06	0
12.4	2.59877e-05	0	3.57629e-06	0
12.3	2.62262e-05	-1.1921e-07	3.6359e-06	2.98025e-08
12.2	2.6107e-05	0	3.6061e-06	0
