# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	201
0	-2.4	6.67577e-05	-7.94983e-06	2.41176e-05	-5.80403e-06
0	-2.3	6.88587e-05	-8.8737e-06	2.36855e-05	-6.42988e-06
0	-2.2	6.49919e-05	-8.99291e-06	2.31118e-05	-6.97377e-06
0	-2.1	6.3308e-05	-9.57405e-06	2.29405e-05	-8.09884e-06
0	-2	6.36433e-05	-9.46975e-06	2.33204e-05	-7.97218e-06
0	-1.9	6.29355e-05	-8.69489e-06	2.30075e-05	-7.10043e-06
0	-1.8	5.94708e-05	-7.90512e-06	2.35738e-05	-6.92162e-06
0	-1.7	5.81371e-05	-7.51766e-06	2.31193e-05	-6.45968e-06
0	-1.6	5.79136e-05	-7.25689e-06	2.23295e-05	-5.92324e-06
0	-1.5	5.54177e-05	-7.17494e-06	2.08021e-05	-5.79658e-06
0	-1.4	5.56039e-05	-7.08553e-06	1.96995e-05	-5.49856e-06
0	-1.3	5.37338e-05	-6.99612e-06	1.86936e-05	-5.54326e-06
0	-1.2	5.13347e-05	-6.86201e-06	1.79113e-05	-5.54326e-06
0	-1.1	4.92188e-05	-6.40008e-06	1.71514e-05	-5.08133e-06
0	-1	4.75275e-05	-5.9903e-06	1.65479e-05	-4.61194e-06
0	-0.9	4.94199e-05	-6.08715e-06	1.61306e-05	-4.28411e-06
0	-0.799999999999999	4.78106e-05	-5.68482e-06	1.61679e-05	-4.0606e-06
0	-0.699999999999999	4.42194e-05	-5.34955e-06	1.6302e-05	-4.32882e-06
0	-0.6	4.0822e-05	-5.36445e-06	1.68384e-05	-5.20053e-06
0	-0.5	3.86091e-05	-4.88016e-06	1.9163e-05	-5.46876e-06
0	-0.399999999999999	4.00322e-05	-4.86526e-06	2.1495e-05	-5.70717e-06
0	-0.299999999999999	4.15447e-05	-4.7088e-06	2.41549e-05	-5.66992e-06
0	-0.199999999999999	4.3601e-05	-5.00682e-06	2.8737e-05	-6.76516e-06
0	-0.0999999999999996	4.70581e-05	-5.63267e-06	3.50999e-05	-8.74704e-06
0	0	5.19308e-05	-6.58634e-06	4.35936e-05	-1.15336e-05
0	0.100000000000001	5.56859e-05	-7.03338e-06	5.35327e-05	-1.36644e-05
0	0.200000000000001	5.40989e-05	-6.60869e-06	5.43448e-05	-1.33366e-05
0	0.300000000000001	4.92411e-05	-6.10205e-06	4.33477e-05	-1.12132e-05
0	0.4	4.49645e-05	-5.69227e-06	3.40792e-05	-9.28348e-06
0	0.5	4.14106e-05	-5.53581e-06	2.73363e-05	-8.47137e-06
0	0.600000000000001	3.86762e-05	-5.31974e-06	2.2702e-05	-7.46551e-06
0	0.700000000000001	3.72531e-05	-5.00682e-06	1.95057e-05	-6.36282e-06
0	0.800000000000001	3.72159e-05	-5.03662e-06	1.66671e-05	-5.75188e-06
0	0.9	4.17309e-05	-5.39425e-06	1.53781e-05	-4.77585e-06
0	1	4.94646e-05	-6.34047e-06	1.49012e-05	-4.35117e-06
0	1.1	5.42032e-05	-6.93652e-06	1.49832e-05	-4.1649e-06
0	1.2	6.16242e-05	-7.88277e-06	1.55346e-05	-4.0755e-06
0	1.3	5.88449e-05	-7.56237e-06	1.6682e-05	-4.37352e-06
0	1.4	5.43001e-05	-6.69065e-06	1.87532e-05	-4.69389e-06
0	1.5	5.05301e-05	-6.13931e-06	2.15919e-05	-5.49111e-06
0	1.6	4.9189e-05	-6.31812e-06	2.6621e-05	-7.07808e-06
0	1.7	4.82576e-05	-6.23617e-06	3.29169e-05	-8.96311e-06
0	1.8	4.65589e-05	-6.60124e-06	3.52564e-05	-1.11163e-05
0	1.9	4.4212e-05	-6.6683e-06	3.2604e-05	-1.14143e-05
0	2	4.42418e-05	-6.59379e-06	2.93703e-05	-1.00881e-05
0	2.1	4.40183e-05	-6.19891e-06	2.77982e-05	-8.58313e-06
0	2.2	4.51359e-05	-6.035e-06	2.59579e-05	-7.50276e-06
0	2.3	4.73189e-05	-6.44478e-06	2.338e-05	-6.82476e-06
0	2.4	4.80937e-05	-6.35537e-06	2.075e-05	-5.87109e-06
0	2.5	4.67005e-05	-6.11696e-06	1.92152e-05	-5.357e-06
