# count_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y	ppms_temperature	time0
# "count"	"X"	"Y"	"X"	"Y"	"Temperature"	"time0"
# 3600
1	0.00020373	-1.59742e-05	4.10678e-05	-1.31131e-06	100.077033996582	0.228868961334229
2	0.000203849	-1.59742e-05	4.10678e-05	-1.31131e-06	100.098236083984	1.32723450660706
3	0.000203491	-1.59742e-05	4.10678e-05	-1.28151e-06	100.138244628906	2.43465900421143
4	0.00020361	-1.60934e-05	4.10678e-05	-1.31131e-06	100.174591064453	3.52904510498047
5	0.00020361	-1.59742e-05	4.10678e-05	-1.31131e-06	100.204093933105	4.62941074371338
6	0.000203491	-1.59742e-05	4.10678e-05	-1.31131e-06	100.257499694824	5.7407488822937
7	0.00020361	-1.60934e-05	4.10678e-05	-1.34111e-06	100.301780700684	6.83911514282227
8	0.00020361	-1.5855e-05	4.10678e-05	-1.31131e-06	100.337127685547	7.93049740791321
9	0.00020361	-1.59742e-05	4.1038e-05	-1.31131e-06	100.398529052734	9.0418426990509
10	0.000203491	-1.59742e-05	4.10678e-05	-1.31131e-06	100.448654174805	10.1572060585022
11	0.000203253	-1.57357e-05	4.1038e-05	-1.31131e-06	100.515075683594	11.301433801651
12	0.000203491	-1.5855e-05	4.1038e-05	-1.31131e-06	100.568046569824	12.4267892837524
13	0.00020361	-1.60934e-05	4.1038e-05	-1.34111e-06	100.650413513184	14.3327708244324
14	0.000203491	-1.5855e-05	4.1038e-05	-1.34111e-06	100.72135925293	15.4521234035492
15	0.000203491	-1.57357e-05	4.10678e-05	-1.31131e-06	100.777572631836	16.576474905014
16	0.00020361	-1.57357e-05	4.1038e-05	-1.31131e-06	100.820983886719	17.6768393516541
17	0.000203491	-1.57357e-05	4.1038e-05	-1.31131e-06	100.89501953125	18.7723445892334
18	0.000203491	-1.5855e-05	4.1038e-05	-1.31131e-06	100.95336151123	19.8747081756592
19	0.000203372	-1.59742e-05	4.1038e-05	-1.34111e-06	100.998817443848	20.9670753479004
20	0.000203372	-1.59742e-05	4.1038e-05	-1.31131e-06	101.07706451416	22.0744359493256
21	0.000203372	-1.59742e-05	4.10082e-05	-1.31131e-06	101.138687133789	23.1768004894257
22	0.000203372	-1.5855e-05	4.10082e-05	-1.31131e-06	101.185897827148	24.2682168483734
23	0.000203372	-1.59742e-05	4.10082e-05	-1.31131e-06	101.266860961914	25.3677322864532
24	0.000203372	-1.59742e-05	4.10082e-05	-1.31131e-06	101.329971313477	26.4700951576233
25	0.000203372	-1.5855e-05	4.10082e-05	-1.31131e-06	101.378410339355	27.5765132904053
26	0.000203253	-1.59742e-05	4.10082e-05	-1.31131e-06	101.476608276367	28.6758937835693
27	0.000203253	-1.5855e-05	4.1038e-05	-1.34111e-06	101.575927734375	30.6427674293518
28	0.000203253	-1.5855e-05	4.10082e-05	-1.31131e-06	101.660774230957	31.7921047210693
29	0.000203014	-1.5855e-05	4.10082e-05	-1.31131e-06	101.726585388184	32.9326570034027
30	0.000203253	-1.5855e-05	4.09784e-05	-1.31131e-06	101.777534484863	34.0404117107391
31	0.000203014	-1.5855e-05	4.09784e-05	-1.31131e-06	101.864059448242	35.1398000717163
32	0.000203014	-1.5855e-05	4.09784e-05	-1.31131e-06	101.931449890137	36.2358360290527
33	0.000203014	-1.60934e-05	4.09784e-05	-1.31131e-06	101.98331451416	37.3398332595825
34	0.000202895	-1.57357e-05	4.10082e-05	-1.31131e-06	102.07145690918	38.4503948688507
35	0.000202895	-1.59742e-05	4.09486e-05	-1.31131e-06	102.139297485352	39.5500240325928
