# k2200_voltage_set	lockin1_X	lockin1_Y
# "voltage"	"X"	"Y"
# 101
15	2.08618e-06	2.92064e-06
14.85	1.2219e-06	8.94074e-08
14.7	2.98025e-08	-7.45062e-07
14.55	1.78815e-07	-2.14578e-06
14.4	8.94073e-07	-1.46032e-06
14.25	-1.81795e-06	3.21867e-06
14.1	1.43052e-06	8.52352e-06
13.95	5.9605e-07	-1.78815e-07
13.8	-8.04666e-07	2.02657e-06
13.65	6.25852e-07	-3.90413e-06
13.5	0	1.75834e-06
13.35	6.49694e-06	5.06643e-07
13.2	-3.15906e-06	-5.48366e-06
13.05	5.06643e-07	6.25852e-07
12.9	1.66894e-06	7.74864e-07
12.75	1.37091e-06	2.98025e-07
12.6	7.74864e-07	-2.29479e-06
12.45	6.85457e-07	2.08617e-07
12.3	-2.3842e-07	-4.17234e-07
12.15	-2.14578e-06	-5.96051e-08
12	1.78815e-07	-1.34111e-06
11.85	-1.69874e-06	-1.1921e-06
11.7	1.10269e-06	-2.3842e-07
11.55	-3.27827e-07	-1.01329e-06
11.4	9.23876e-07	2.59282e-06
11.25	7.45062e-07	8.34469e-07
11.1	4.41077e-06	1.60933e-06
10.95	-5.36445e-07	7.15259e-07
10.8	3.27827e-07	0
10.65	1.72854e-06	-6.25852e-07
10.5	-3.27827e-07	1.1921e-06
10.35	1.04309e-06	7.15259e-07
10.2	1.34111e-06	-1.1325e-06
10.05	3.87432e-07	-1.1921e-07
9.9	-1.31131e-06	-8.34469e-07
9.75	-2.68223e-07	-6.55655e-07
9.6	1.66894e-06	5.36445e-07
9.45	2.08617e-07	-9.53682e-07
9.3	1.78815e-07	-1.1921e-07
9.15	5.36445e-07	-4.76841e-07
9	2.98025e-08	-5.06643e-07
8.85	5.66248e-07	-7.74864e-07
8.7	6.25852e-07	1.90736e-06
8.55	-3.57629e-06	-1.78815e-06
8.4	7.45062e-07	-4.76841e-07
8.25	0	3.36768e-06
8.1	4.47037e-07	-1.78815e-07
7.95	-6.25852e-07	-8.04666e-07
7.8	2.98025e-08	-7.74864e-07
7.65	2.3544e-06	-2.17558e-06
7.5	1.43052e-06	-1.49012e-06
7.35	1.87755e-06	4.76841e-07
7.2	1.31131e-06	2.86104e-06
7.05	1.87755e-06	-3.5763e-07
6.9	3.27827e-06	-2.29479e-06
6.75	-4.44058e-06	8.79174e-06
6.6	1.01329e-06	-1.1921e-06
6.45	1.78815e-06	-8.94074e-08
6.3	1.1921e-06	-5.96051e-08
6.15	4.35117e-06	-6.25852e-07
6	8.64271e-07	-1.07289e-06
5.85	1.04309e-06	-1.78815e-07
5.7	1.1921e-06	2.98025e-08
5.55	2.4438e-06	8.04666e-07
5.4	1.81795e-06	-5.96051e-08
5.25	1.49013e-07	1.87755e-06
5.1	7.15259e-07	-7.74864e-07
4.95	1.2517e-06	1.10269e-06
4.8	1.63914e-06	-3.27827e-07
4.65	7.15259e-07	-4.7386e-06
4.5	-6.70555e-06	3.01005e-06
4.35	3.06965e-06	-4.05314e-06
4.2	2.02657e-06	6.64595e-06
4.05	-1.37091e-06	-7.95728e-06
3.9	1.49013e-07	1.49012e-06
3.75	-8.94074e-08	-9.53682e-07
3.6	-5.06642e-06	-5.06642e-06
3.45	-2.59282e-06	-6.46713e-06
3.3	2.4438e-06	-1.96697e-06
3.15	-1.37091e-06	-3.84453e-06
3	1.54973e-06	-2.4438e-06
2.85	4.32137e-06	2.50341e-06
2.7	5.66248e-07	1.1921e-07
2.55	3.39748e-06	2.98025e-08
2.4	4.61939e-06	2.68223e-07
2.25	3.27827e-07	-1.04309e-06
2.1	3.75511e-06	1.75834e-06
1.95	5.06643e-07	-1.1623e-06
1.8	2.56301e-06	-3.81473e-06
1.65	-3.27827e-07	-3.87433e-06
1.5	8.94074e-08	-3.51669e-06
1.35	-1.43052e-06	-4.11275e-06
1.2	-1.04309e-06	-5.63267e-06
1.05	8.34469e-07	-4.7684e-06
0.9	-3.57629e-06	-7.62945e-06
0.75	3.24847e-06	-7.45061e-06
0.600000000000001	-8.82155e-06	-1.21892e-05
0.450000000000001	4.55978e-06	-4.97702e-06
0.300000000000001	2.11598e-06	-4.20216e-06
0.15	-2.08618e-06	-6.22871e-06
0	-4.76841e-07	-5.72208e-06
