# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 46	51
0	10	2.14578e-06	3.27827e-07	4.47037e-07
0	9.8	2.17558e-06	2.98025e-07	4.76841e-07
0	9.6	2.29479e-06	3.27827e-07	4.76841e-07
0	9.4	2.3246e-06	3.5763e-07	4.76841e-07
0	9.2	2.29479e-06	3.27827e-07	5.36445e-07
0	9	2.26499e-06	3.87432e-07	4.76841e-07
0	8.8	2.17558e-06	2.68223e-07	4.76841e-07
0	8.6	2.4438e-06	3.5763e-07	4.76841e-07
0	8.4	2.3544e-06	3.5763e-07	5.06643e-07
0	8.2	2.3842e-06	2.68223e-07	5.06643e-07
0	8	2.414e-06	3.5763e-07	5.36445e-07
0	7.8	2.4438e-06	2.98025e-07	5.36445e-07
0	7.6	2.4438e-06	2.3842e-07	5.9605e-07
0	7.4	2.3842e-06	2.98025e-07	5.66248e-07
0	7.2	2.50341e-06	3.5763e-07	5.9605e-07
0	7	2.56301e-06	3.27827e-07	5.9605e-07
0	6.8	2.65242e-06	2.98025e-07	5.36445e-07
0	6.6	2.62262e-06	4.47037e-07	6.55655e-07
0	6.4	2.68222e-06	3.5763e-07	6.55655e-07
0	6.2	2.71203e-06	4.47037e-07	7.15259e-07
0	6	2.68222e-06	2.3842e-07	7.45062e-07
0	5.8	2.77163e-06	2.98025e-07	7.15259e-07
0	5.6	2.89084e-06	2.98025e-07	6.55655e-07
0	5.4	2.86104e-06	3.5763e-07	6.55655e-07
0	5.2	3.03985e-06	3.5763e-07	6.55655e-07
0	5	3.18886e-06	4.17234e-07	7.45062e-07
0	4.8	3.42728e-06	2.98025e-07	8.04666e-07
0	4.6	3.45708e-06	2.08617e-07	8.04666e-07
0	4.4	3.6657e-06	3.27827e-07	8.94073e-07
0	4.2	3.7253e-06	3.27827e-07	9.23876e-07
0	4	3.84453e-06	3.5763e-07	8.94073e-07
0	3.8	3.84453e-06	2.08617e-07	9.23876e-07
0	3.6	3.99354e-06	2.08617e-07	9.23876e-07
0	3.4	4.20216e-06	2.3842e-07	1.01329e-06
0	3.2	4.47038e-06	3.27827e-07	1.04309e-06
0	3	4.85781e-06	3.87432e-07	1.1325e-06
0	2.8	4.85781e-06	3.87432e-07	1.1623e-06
0	2.6	5.03662e-06	3.87432e-07	1.1623e-06
0	2.4	5.27504e-06	2.68223e-07	1.2219e-06
0	2.2	5.96049e-06	2.08617e-07	1.43052e-06
0	2	6.34792e-06	8.94074e-08	1.54973e-06
0	1.8	7.18239e-06	6.85457e-07	1.57953e-06
0	1.6	7.59962e-06	2.3842e-07	1.72854e-06
0	1.4	8.2255e-06	2.3842e-07	1.78815e-06
0	1.2	8.64273e-06	2.08617e-07	1.99677e-06
0	1	9.44739e-06	5.96051e-08	2.05637e-06
0	0.799999999999999	1.06991e-05	5.96051e-08	2.20539e-06
0	0.6	1.25468e-05	-8.94074e-08	2.56301e-06
0	0.399999999999999	1.60934e-05	-3.27827e-07	3.15906e-06
0	0.199999999999999	2.47062e-05	-1.78815e-06	4.52998e-06
0	0	4.76243e-05	-6.94397e-06	8.2255e-06

200	10	2.14578e-06	2.68223e-07	5.06643e-07
200	9.8	2.11598e-06	3.87432e-07	3.87432e-07
200	9.6	2.14578e-06	2.98025e-07	4.76841e-07
200	9.4	2.23519e-06	3.5763e-07	4.47037e-07
200	9.2	2.17558e-06	3.27827e-07	4.47037e-07
200	9	2.20539e-06	3.5763e-07	4.47037e-07
200	8.8	2.11598e-06	4.47037e-07	4.47037e-07
200	8.6	2.20539e-06	4.47037e-07	4.76841e-07
200	8.4	2.26499e-06	2.98025e-07	5.06643e-07
200	8.2	2.26499e-06	2.3842e-07	5.06643e-07
200	8	2.3246e-06	3.5763e-07	5.06643e-07
200	7.8	2.3544e-06	2.98025e-07	5.06643e-07
200	7.6	2.3246e-06	2.68223e-07	5.66248e-07
200	7.4	2.47361e-06	3.5763e-07	5.36445e-07
200	7.2	2.53321e-06	2.08617e-07	5.06643e-07
200	7	2.50341e-06	2.08617e-07	5.06643e-07
200	6.8	2.59282e-06	3.5763e-07	5.66248e-07
200	6.6	2.68222e-06	3.27827e-07	5.66248e-07
200	6.4	2.56301e-06	3.5763e-07	5.9605e-07
200	6.2	2.62262e-06	3.27827e-07	6.25852e-07
200	6	2.50341e-06	3.87432e-07	7.45062e-07
