# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	0.000380041	-2.86103e-05
-12.9	0.000404121	-3.17099e-05
-12.8	0.000443699	-3.50478e-05
-12.7	0.000509743	-4.07698e-05
-12.6	0.000787262	-7.1526e-05
-12.5	0.00146604	-0.000169755
-12.4	0.00215842	-0.0003109
-12.3	0.00218417	-0.000315668
-12.2	0.00224997	-0.000331642
-12.1	0.00215746	-0.000311138
-12	0.00207235	-0.000293495
-11.9	0.00204207	-0.000283958
-11.8	0.00266911	-0.000440123
-11.7	0.00231053	-0.000349523
-11.6	0.00268199	-0.000450851
-11.5	0.00280334	-0.000498537
-11.4	0.00360943	-0.000825647
-11.3	0.00331594	-0.000748638
-11.2	0.00315095	-0.000592712
-11.1	0.00335361	-0.000718836
-11	0.00294735	-0.000524286
-10.9	0.00317384	-0.000555519
-10.8	0.00312354	-0.000483992
-10.7	0.00307895	-0.000462057
-10.6	0.00290014	-0.000403645
-10.5	0.00318219	-0.000436785
-10.4	0.00272919	-0.000343325
-10.3	0.00266816	-0.000330688
-10.2	0.00220968	-0.000254871
-10.1	0.00202514	-0.000222684
-10	0.00191832	-0.000206471
-9.9	0.00179268	-0.000189067
-9.8	0.00158931	-0.000161172
-9.7	0.00144387	-0.000143529
-9.6	0.00123239	-0.000117541
-9.5	0.00111748	-0.000105143
-9.4	0.00108195	-0.000100375
-9.3	0.00105406	-9.656e-05
-9.2	0.00101281	-9.22685e-05
-9.1	0.00102163	-9.25069e-05
-9	0.000989921	-8.79769e-05
-8.9	0.000988729	-8.72617e-05
-8.8	0.000986107	-8.79769e-05
-8.7	0.000917915	-8.03475e-05
-8.6	0.000886444	-7.70097e-05
-8.5	0.000849966	-7.36718e-05
-8.4	0.000801805	-6.89034e-05
-8.3	0.000758175	-6.34198e-05
-8.2	0.000726942	-6.15125e-05
-8.1	0.000701431	-5.84128e-05
-8	0.000694279	-5.81744e-05
-7.9	0.000694994	-5.84128e-05
-7.8	0.000684503	-5.60286e-05
-7.7	0.000654463	-5.36444e-05
-7.6	0.000635389	-5.17371e-05
-7.5	0.000613932	-5.0545e-05
-7.4	0.000595812	-4.86376e-05
-7.3	0.000583891	-4.74455e-05
-7.2	0.00057197	-4.64919e-05
-7.1	0.000555757	-4.50613e-05
-7	0.000546698	-4.43461e-05
-6.9	0.000540975	-4.26772e-05
-6.8	0.000533585	-4.26772e-05
-6.7	nan	nan
