# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 161
-8	7.2271e-07	-2.98025e-08
-7.9	7.59963e-07	-7.45064e-09
-7.8	8.64271e-07	-1.49013e-08
-7.7	9.01524e-07	-2.98025e-08
-7.6	9.90934e-07	2.98025e-08
-7.5	1.03564e-06	-1.49013e-08
-7.4	1.08034e-06	7.45064e-09
-7.3	1.1325e-06	-1.49013e-08
-7.2	1.32621e-06	0
-7.1	1.40072e-06	2.98025e-08
-7	1.43797e-06	-5.21543e-08
-6.9	1.39327e-06	-7.45064e-09
-6.8	1.37836e-06	-6.70557e-08
-6.7	1.28896e-06	2.98025e-08
-6.6	1.21445e-06	-5.96051e-08
-6.5	1.1921e-06	3.72531e-08
-6.4	1.1474e-06	-3.72531e-08
-6.3	1.10269e-06	-7.45064e-09
-6.2	1.04309e-06	-5.21543e-08
-6.1	1.07289e-06	-1.49013e-08
-6	1.05799e-06	7.45064e-09
-5.9	1.00584e-06	-2.98025e-08
-5.8	9.83484e-07	-5.21543e-08
-5.7	9.23876e-07	-1.49013e-08
-5.6	9.46227e-07	-2.98025e-08
-5.5	9.16425e-07	-3.72531e-08
-5.4	9.38777e-07	1.49013e-08
-5.3	9.53682e-07	-7.45064e-09
-5.2	1.00584e-06	-7.45064e-09
-5.1	1.02819e-06	-4.47037e-08
-5	1.05054e-06	-5.96051e-08
-4.9	1.04309e-06	-4.47037e-08
-4.8	1.02074e-06	-2.98025e-08
-4.7	1.07289e-06	-5.21543e-08
-4.6	1.08779e-06	-5.21543e-08
-4.5	1.1474e-06	0
-4.4	1.1921e-06	-2.23519e-08
-4.3	1.13995e-06	-7.45064e-09
-4.2	1.2219e-06	-5.21543e-08
-4.1	1.16975e-06	-3.72531e-08
-4	1.18465e-06	-4.47037e-08
-3.9	1.2368e-06	-6.70557e-08
-3.8	1.25916e-06	-5.96051e-08
-3.7	1.26661e-06	-6.70557e-08
-3.6	1.25916e-06	-5.96051e-08
-3.5	1.25916e-06	-5.96051e-08
-3.4	1.24425e-06	-2.98025e-08
-3.3	1.32621e-06	-7.45063e-08
-3.2	1.30386e-06	-6.70557e-08
-3.1	1.42307e-06	-2.98025e-08
-3	1.47522e-06	-8.19568e-08
-2.9	1.47522e-06	-6.70557e-08
-2.8	1.45287e-06	-6.70557e-08
-2.7	1.51993e-06	-7.45063e-08
-2.6	1.57953e-06	-5.96051e-08
-2.5	1.63168e-06	-5.96051e-08
-2.4	1.75089e-06	-6.70557e-08
-2.3	1.77325e-06	-5.96051e-08
-2.2	1.77325e-06	-7.45063e-08
-2.1	1.90736e-06	-6.70557e-08
-2	2.13833e-06	-7.45063e-08
-1.9	2.34695e-06	-8.19568e-08
-1.8	2.28734e-06	-8.94074e-08
-1.7	2.20539e-06	-7.45063e-08
-1.6	2.40655e-06	-8.19568e-08
-1.5	2.48106e-06	-9.6858e-08
-1.4	2.42145e-06	-9.6858e-08
-1.3	2.42145e-06	-1.04309e-07
-1.2	2.61517e-06	-1.04309e-07
-1.1	2.83124e-06	-1.86265e-07
-1	2.77163e-06	-2.08617e-07
-0.899999999999999	2.81633e-06	-1.86265e-07
-0.8	3.01005e-06	-2.16068e-07
-0.699999999999999	3.09946e-06	-2.01167e-07
-0.6	3.12181e-06	-2.45871e-07
-0.5	3.08455e-06	-2.3842e-07
-0.399999999999999	3.34533e-06	-1.71364e-07
-0.3	3.36023e-06	-1.71364e-07
-0.199999999999999	3.81473e-06	-1.93716e-07
-0.0999999999999996	4.20961e-06	-1.71364e-07
0	4.20961e-06	-2.08617e-07
0.0999999999999996	4.09785e-06	-1.49013e-07
0.200000000000001	4.0904e-06	-1.86265e-07
0.300000000000001	3.62845e-06	-1.93716e-07
0.4	3.50179e-06	-1.34111e-07
0.5	3.53159e-06	-1.49013e-07
0.6	3.40493e-06	-1.26661e-07
0.700000000000001	3.29317e-06	-1.63914e-07
0.800000000000001	3.44963e-06	-1.63914e-07
0.9	3.29317e-06	-1.63914e-07
1	3.39003e-06	-1.56463e-07
1.1	2.99515e-06	-1.71364e-07
1.2	2.67477e-06	-1.71364e-07
1.3	2.65987e-06	-1.1921e-07
1.4	2.54811e-06	-9.6858e-08
1.5	2.49596e-06	-8.19568e-08
1.6	2.63752e-06	-1.1921e-07
1.7	2.46616e-06	-9.6858e-08
1.8	2.39165e-06	-8.94074e-08
1.9	2.19794e-06	-1.04309e-07
2	1.98187e-06	-6.70557e-08
2.1	1.89991e-06	-5.21543e-08
2.2	1.89991e-06	-1.11759e-07
2.3	1.77325e-06	-9.6858e-08
2.4	1.60188e-06	-8.19568e-08
2.5	1.57953e-06	-8.94074e-08
2.6	1.72109e-06	-7.45063e-08
2.7	1.57953e-06	-7.45063e-08
2.8	1.52738e-06	-6.70557e-08
2.9	1.42307e-06	-4.47037e-08
3	1.30386e-06	-5.96051e-08
3.1	1.2368e-06	-8.19568e-08
3.2	1.207e-06	-1.04309e-07
3.3	1.1474e-06	-5.96051e-08
3.4	1.07289e-06	-5.21543e-08
3.5	1.01329e-06	-4.47037e-08
3.6	9.16425e-07	-4.47037e-08
3.7	9.38777e-07	-2.98025e-08
3.8	8.86623e-07	-2.23519e-08
3.9	8.79172e-07	-2.23519e-08
4	8.86623e-07	-2.23519e-08
4.1	8.64271e-07	-2.23519e-08
4.2	8.27018e-07	-2.98025e-08
4.3	7.97216e-07	-2.98025e-08
4.4	7.45062e-07	-2.23519e-08
4.5	7.00358e-07	7.45064e-09
4.6	7.00358e-07	-5.21543e-08
4.7	6.78006e-07	0
4.8	6.33303e-07	-2.23519e-08
4.9	5.9605e-07	-2.23519e-08
5	6.18402e-07	-4.47037e-08
5.1	5.36445e-07	-2.98025e-08
5.2	5.58797e-07	-4.47037e-08
5.3	5.43896e-07	-7.45064e-09
5.4	5.43896e-07	-4.47037e-08
5.5	5.28995e-07	-1.49013e-08
5.6	5.28995e-07	0
5.7	5.06643e-07	-7.45064e-09
5.8	5.14094e-07	0
5.9	5.06643e-07	-5.96051e-08
6	5.28995e-07	-7.45064e-09
6.1	5.58797e-07	7.45064e-09
6.2	5.43896e-07	-5.96051e-08
6.3	5.51347e-07	0
6.4	5.9605e-07	-3.72531e-08
6.5	6.92908e-07	2.23519e-08
6.6	6.92908e-07	0
6.7	7.07809e-07	7.45064e-09
6.8	7.15259e-07	0
6.9	7.00358e-07	0
7	7.15259e-07	-2.98025e-08
7.1	6.70556e-07	-2.23519e-08
7.2	5.81149e-07	-2.98025e-08
7.3	5.73698e-07	-2.23519e-08
7.4	5.36445e-07	-5.21543e-08
7.5	5.28995e-07	-2.98025e-08
7.6	5.14094e-07	0
7.7	4.69388e-07	-7.45064e-09
7.8	3.79981e-07	0
7.9	3.87432e-07	-2.98025e-08
8	3.94883e-07	7.45064e-09
