# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 201
10	4.7088e-06	2.3842e-07	4.76841e-07	0
9.95	4.61939e-06	4.17234e-07	5.66248e-07	-2.98025e-08
9.9	4.7386e-06	2.3842e-07	5.06643e-07	0
9.85	4.64919e-06	1.78815e-07	5.06643e-07	0
9.8	4.52998e-06	3.87432e-07	5.06643e-07	0
9.75	4.41077e-06	3.5763e-07	5.06643e-07	0
9.7	4.20216e-06	3.87432e-07	4.76841e-07	2.98025e-08
9.65	4.11275e-06	4.17234e-07	4.76841e-07	0
9.6	4.23196e-06	3.5763e-07	4.47037e-07	2.98025e-08
9.55	4.23196e-06	2.3842e-07	4.17234e-07	2.98025e-08
9.5	4.38097e-06	3.5763e-07	4.17234e-07	2.98025e-08
9.45	4.47038e-06	3.27827e-07	3.5763e-07	0
9.4	4.58959e-06	4.17234e-07	3.5763e-07	0
9.35	4.7386e-06	2.98025e-07	3.5763e-07	2.98025e-08
9.3	5.15583e-06	3.5763e-07	3.5763e-07	2.98025e-08
9.25	5.27504e-06	3.87432e-07	3.5763e-07	0
9.2	5.33464e-06	3.5763e-07	4.47037e-07	-2.98025e-08
9.15	5.63267e-06	2.3842e-07	3.87432e-07	0
9.1	5.78168e-06	4.47037e-07	4.17234e-07	0
9.05	5.72208e-06	3.87432e-07	4.76841e-07	0
9	5.84128e-06	3.27827e-07	5.06643e-07	2.98025e-08
8.95	5.93069e-06	3.27827e-07	5.66248e-07	2.98025e-08
8.9	6.0201e-06	2.3842e-07	6.25852e-07	2.98025e-08
8.85	5.81148e-06	3.5763e-07	6.55655e-07	0
8.8	6.13931e-06	3.5763e-07	7.15259e-07	2.98025e-08
8.75	6.19891e-06	1.49013e-07	7.15259e-07	2.98025e-08
8.7	6.10951e-06	2.68223e-07	7.45062e-07	0
8.65	6.37773e-06	2.08617e-07	7.45062e-07	0
8.6	6.16911e-06	2.68223e-07	7.74864e-07	0
8.55	6.25852e-06	3.5763e-07	8.04666e-07	2.98025e-08
8.5	6.31812e-06	1.78815e-07	7.74864e-07	0
8.45	6.43733e-06	3.5763e-07	7.74864e-07	2.98025e-08
8.4	6.55654e-06	2.3842e-07	7.45062e-07	2.98025e-08
8.35	6.55654e-06	2.08617e-07	7.45062e-07	0
8.3	6.82476e-06	1.1921e-07	7.74864e-07	2.98025e-08
8.25	6.94397e-06	1.78815e-07	8.04666e-07	0
8.2	7.2718e-06	3.27827e-07	8.04666e-07	2.98025e-08
8.15	7.42081e-06	2.08617e-07	8.04666e-07	2.98025e-08
8.1	7.62945e-06	2.98025e-07	8.04666e-07	2.98025e-08
8.05	7.83807e-06	3.27827e-07	8.94073e-07	0
8	7.83807e-06	1.78815e-07	8.94073e-07	2.98025e-08
7.95	8.04669e-06	1.49013e-07	8.94073e-07	2.98025e-08
7.9	8.1957e-06	1.78815e-07	9.23876e-07	2.98025e-08
7.85	8.07649e-06	3.87432e-07	8.94073e-07	0
7.8	8.2255e-06	2.98025e-07	9.53682e-07	2.98025e-08
7.75	8.1957e-06	2.98025e-07	9.53682e-07	0
7.7	8.2255e-06	8.94074e-08	1.04309e-06	8.94074e-08
7.65	8.13609e-06	8.94074e-08	1.04309e-06	2.98025e-08
7.6	8.04669e-06	3.27827e-07	1.01329e-06	-5.96051e-08
7.55	8.1957e-06	3.5763e-07	1.04309e-06	5.96051e-08
7.5	7.89767e-06	2.98025e-07	1.04309e-06	0
7.45	7.98708e-06	2.98025e-07	1.04309e-06	5.96051e-08
7.4	7.80827e-06	2.98025e-07	1.04309e-06	8.94074e-08
7.35	7.77846e-06	2.08617e-07	9.23876e-07	-5.96051e-08
7.3	7.68906e-06	2.3842e-07	9.53682e-07	-2.98025e-08
7.25	7.83807e-06	2.3842e-07	9.53682e-07	0
7.2	7.74866e-06	3.27827e-07	1.01329e-06	-2.98025e-08
7.15	7.54002e-06	3.87432e-07	8.64271e-07	8.94074e-08
7.1	7.51021e-06	3.87432e-07	8.64271e-07	0
7.05	7.3612e-06	3.27827e-07	7.45062e-07	-5.96051e-08
7	7.3314e-06	3.27827e-07	7.74864e-07	1.1921e-07
6.95	7.39101e-06	3.27827e-07	7.45062e-07	8.94074e-08
6.9	7.12278e-06	3.5763e-07	7.45062e-07	8.94074e-08
6.85	6.82476e-06	4.17234e-07	7.15259e-07	-5.96051e-08
6.8	6.91417e-06	3.5763e-07	7.45062e-07	0
6.75	6.70555e-06	2.68223e-07	6.55655e-07	2.98025e-08
6.7	6.64595e-06	3.5763e-07	6.25852e-07	2.98025e-08
6.65	6.49694e-06	1.78815e-07	6.55655e-07	0
6.6	6.49694e-06	2.98025e-07	7.45062e-07	0
6.55	6.13931e-06	3.5763e-07	7.74864e-07	-2.98025e-08
6.5	6.0797e-06	3.5763e-07	7.45062e-07	2.98025e-08
6.45	5.84128e-06	3.5763e-07	6.25852e-07	2.98025e-08
6.4	5.72208e-06	1.78815e-07	5.66248e-07	0
6.35	5.84128e-06	2.08617e-07	5.06643e-07	0
6.3	5.87109e-06	2.98025e-07	5.06643e-07	0
6.25	6.16911e-06	3.27827e-07	6.25852e-07	0
6.2	6.58634e-06	1.78815e-07	5.9605e-07	0
6.15	6.82476e-06	3.5763e-07	5.66248e-07	5.96051e-08
6.1	7.24199e-06	5.06643e-07	5.9605e-07	0
6.05	7.54002e-06	2.08617e-07	5.9605e-07	2.98025e-08
6	7.92748e-06	1.49013e-07	6.55655e-07	-5.96051e-08
5.95	8.46392e-06	8.94074e-08	7.15259e-07	-2.98025e-08
5.9	8.67253e-06	5.96051e-08	7.15259e-07	0
5.85	9.23878e-06	2.98025e-07	7.45062e-07	0
5.8	9.35799e-06	5.96051e-08	8.34469e-07	2.98025e-08
5.75	9.59641e-06	2.3842e-07	8.34469e-07	0
5.7	9.80502e-06	1.49013e-07	9.23876e-07	-5.96051e-08
