# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	281
0	-6.4	8.73213e-05	-8.01688e-06	2.52054e-05	-1.56463e-06
0	-6.3	8.84538e-05	-6.37773e-06	2.43561e-05	-1.50502e-06
0	-6.2	8.79173e-05	-4.58959e-06	2.34992e-05	-1.46032e-06
0	-6.1	8.73213e-05	-4.26176e-06	2.22699e-05	-1.40072e-06
0	-6	8.66656e-05	-5.81148e-06	2.14354e-05	-1.27406e-06
0	-5.9	8.80663e-05	-7.74866e-06	2.0519e-05	-1.16975e-06
0	-5.8	9.00929e-05	-9.41759e-06	1.93642e-05	-1.12504e-06
0	-5.7	9.19406e-05	-1.00732e-05	1.81795e-05	-1.10269e-06
0	-5.6	9.4593e-05	-9.95403e-06	1.71588e-05	-1.06544e-06
0	-5.5	9.55467e-05	-8.49372e-06	1.63839e-05	-9.83484e-07
0	-5.4	9.55169e-05	-6.22871e-06	1.54973e-05	-8.94073e-07
0	-5.3	9.45036e-05	-5.18563e-06	1.4864e-05	-8.71722e-07
0	-5.2	9.43844e-05	-5.54326e-06	1.41413e-05	-8.27018e-07
0	-5.1	9.39672e-05	-6.97377e-06	1.33217e-05	-7.74864e-07
0	-5	9.50997e-05	-9.5368e-06	1.2979e-05	-6.85457e-07
0	-4.9	9.68878e-05	-1.06395e-05	1.25245e-05	-6.92908e-07
0	-4.8	0.00010103	-1.08779e-05	1.2219e-05	-6.40754e-07
0	-4.7	0.000105411	-9.83482e-06	1.19657e-05	-6.85457e-07
0	-4.6	0.000107915	-8.2851e-06	1.16528e-05	-6.33303e-07
0	-4.5	0.000109405	-7.21219e-06	1.1623e-05	-6.55655e-07
0	-4.4	0.000108481	-6.58634e-06	1.14442e-05	-6.25852e-07
0	-4.3	0.000108749	-7.65926e-06	1.12951e-05	-5.43896e-07
0	-4.2	0.000108541	-9.44739e-06	1.12877e-05	-5.58797e-07
0	-4.1	0.000109703	-1.14143e-05	1.1243e-05	-6.03501e-07
0	-4	0.000111938	-1.23382e-05	1.10269e-05	-4.32135e-07
0	-3.9	0.000114024	-1.1474e-05	1.09897e-05	-4.76841e-07
0	-3.8	0.000114233	-9.77522e-06	1.09375e-05	-6.10951e-07
