# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 201
-10	2.46168e-05	-2.85359e-06
-9.9	2.43784e-05	-2.86849e-06
-9.8	2.44008e-05	-2.92809e-06
-9.7	2.46988e-05	-2.98025e-06
-9.6	2.50117e-05	-3.0473e-06
-9.5	2.52576e-05	-3.17396e-06
-9.4	2.53172e-05	-3.24847e-06
-9.3	2.55184e-05	-3.25592e-06
-9.2	2.57046e-05	-3.27827e-06
-9.1	2.55482e-05	-3.25592e-06
-9	2.56525e-05	-3.31552e-06
-8.9	2.52874e-05	-3.34533e-06
-8.8	2.53693e-05	-3.32297e-06
-8.7	2.57642e-05	-3.40493e-06
-8.6	2.61591e-05	-3.48689e-06
-8.5	2.68595e-05	-3.50924e-06
-8.4	2.69116e-05	-3.46453e-06
-8.3	2.6785e-05	-3.48689e-06
-8.2	2.61889e-05	-3.46453e-06
-8.1	2.64571e-05	-3.7104e-06
-8	2.66285e-05	-3.79981e-06
-7.9	2.71128e-05	-3.6955e-06
-7.8	2.70904e-05	-3.67315e-06
-7.7	2.72096e-05	-3.76256e-06
-7.6	2.70755e-05	-3.7253e-06
-7.5	2.76045e-05	-3.79236e-06
-7.4	2.77461e-05	-3.97119e-06
-7.3	2.75375e-05	-4.12765e-06
-7.2	2.74704e-05	-4.19471e-06
-7.1	2.77088e-05	-4.15745e-06
-7	2.78206e-05	-4.00099e-06
-6.9	2.79547e-05	-3.88178e-06
-6.8	2.86252e-05	-3.80726e-06
-6.7	2.89978e-05	-3.85198e-06
-6.6	2.86476e-05	-3.94139e-06
-6.5	2.85731e-05	-4.15e-06
-6.4	2.88041e-05	-4.1798e-06
-6.3	2.94672e-05	-4.11275e-06
-6.2	2.97056e-05	-4.38097e-06
-6.1	2.95119e-05	-4.76095e-06
-6	2.93629e-05	-4.89506e-06
-5.9	2.95193e-05	-4.71625e-06
-5.8	3.05028e-05	-5.00682e-06
-5.7	3.1993e-05	-5.47621e-06
-5.6	3.25593e-05	-5.53581e-06
-5.5	3.29542e-05	-5.78913e-06
-5.4	3.42729e-05	-5.80403e-06
-5.3	3.47646e-05	-5.55071e-06
-5.2	3.5845e-05	-5.53581e-06
-5.1	3.68583e-05	-5.61777e-06
-5	3.62175e-05	-5.66247e-06
-4.9	3.63144e-05	-5.89344e-06
-4.8	3.58971e-05	-5.98285e-06
-4.7	3.53756e-05	-6.0201e-06
-4.6	3.56066e-05	-6.0797e-06
-4.5	3.61579e-05	-6.95887e-06
-4.4	3.75735e-05	-7.09298e-06
-4.3	4.06431e-05	-6.91417e-06
-4.2	4.20737e-05	-7.3612e-06
-4.1	4.33552e-05	-8.26275e-06
-4	4.40332e-05	-7.97963e-06
-3.9	4.5717e-05	-8.10629e-06
-3.8	4.75349e-05	-8.44902e-06
-3.7	4.95168e-05	-8.55332e-06
-3.6	5.07387e-05	-8.75449e-06
-3.5	5.38232e-05	-9.37289e-06
-3.4	5.30931e-05	-9.14937e-06
-3.3	5.23406e-05	-9.17172e-06
-3.2	5.1223e-05	-9.58896e-06
-3.1	5.08132e-05	-1.00211e-05
-3	4.99489e-05	-1.00062e-05
-2.9	5.22065e-05	-9.76777e-06
-2.8	5.22586e-05	-9.82737e-06
-2.7	5.167e-05	-9.95403e-06
-2.6	5.506e-05	-1.02819e-05
-2.5	5.92323e-05	-1.07438e-05
-2.4	6.08566e-05	-1.16304e-05
-2.3	6.00519e-05	-1.29268e-05
-2.2	6.31516e-05	-1.49906e-05
-2.1	6.22575e-05	-1.75686e-05
-2	6.67428e-05	-1.79411e-05
-1.9	7.51396e-05	-1.78145e-05
-1.8	7.16303e-05	-1.6533e-05
-1.7	7.26064e-05	-1.62349e-05
-1.6	6.92536e-05	-1.4551e-05
-1.5	6.17732e-05	-1.35601e-05
-1.4	5.66544e-05	-1.21594e-05
-1.3	5.3637e-05	-1.21669e-05
-1.2	5.11559e-05	-1.20625e-05
-1.1	4.96584e-05	-1.12653e-05
-1	4.92188e-05	-1.03936e-05
-0.9	4.8198e-05	-1.01701e-05
-0.799999999999999	4.54637e-05	-8.60548e-06
-0.699999999999999	4.30646e-05	-8.07649e-06
-0.6	3.8177e-05	-8.70234e-06
-0.5	3.45933e-05	-8.2404e-06
-0.399999999999999	3.39972e-05	-7.87532e-06
-0.299999999999999	3.57705e-05	-6.72045e-06
-0.199999999999999	3.85421e-05	-7.54002e-06
-0.0999999999999996	4.37649e-05	-8.74704e-06
0	4.9554e-05	-1.00732e-05
0.100000000000001	5.46651e-05	-1.1243e-05
0.200000000000001	5.4084e-05	-1.02446e-05
0.300000000000001	4.93603e-05	-9.54425e-06
0.4	4.51508e-05	-8.94075e-06
0.5	4.10976e-05	-8.78429e-06
0.600000000000001	3.72084e-05	-8.40431e-06
0.700000000000001	3.59567e-05	-8.29255e-06
0.800000000000001	3.60685e-05	-8.70234e-06
0.9	3.87433e-05	-8.9333e-06
1	4.5486e-05	-9.99874e-06
1.1	5.44789e-05	-1.16155e-05
1.2	5.53208e-05	-1.14069e-05
1.3	5.53729e-05	-1.18092e-05
1.4	5.39499e-05	-1.11834e-05
1.5	5.32272e-05	-1.11685e-05
1.6	5.03885e-05	-1.07214e-05
1.7	4.79447e-05	-1.05277e-05
1.8	4.70357e-05	-1.17496e-05
1.9	4.69687e-05	-1.28151e-05
2	4.54115e-05	-1.26586e-05
2.1	4.41822e-05	-1.07959e-05
2.2	4.55009e-05	-1.04607e-05
2.3	4.56499e-05	-1.08034e-05
2.4	4.64621e-05	-1.03489e-05
2.5	4.90176e-05	-1.07587e-05
2.6	4.79969e-05	-1.19061e-05
2.7	4.84439e-05	-1.27853e-05
2.8	4.90847e-05	-1.19135e-05
2.9	4.74679e-05	-1.19508e-05
3	4.72444e-05	-1.13622e-05
3.1	4.54562e-05	-1.16602e-05
3.2	4.45771e-05	-9.96148e-06
3.3	4.46814e-05	-9.39524e-06
3.4	4.42716e-05	-9.87953e-06
