# k2200_voltage_set	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"
# 201
10	9.29838e-06	-1.78815e-06
9.95	7.45061e-06	3.6955e-06
9.9	7.09298e-06	5.00682e-06
9.85	4.05314e-06	-4.17234e-07
9.8	9.11957e-06	6.25852e-06
9.75	-1.8716e-05	-4.17235e-06
9.7	-3.15907e-05	3.87433e-06
9.65	-4.70283e-05	4.54786e-05
9.6	-4.17235e-06	-1.37091e-06
9.55	-1.60933e-06	9.05996e-06
9.5	-2.26499e-06	6.55654e-06
9.45	6.43733e-06	5.78168e-06
9.4	8.2851e-06	7.2718e-06
9.35	4.88761e-06	4.64919e-06
9.3	4.35117e-06	4.64919e-06
9.25	5.84128e-06	5.18563e-06
9.2	5.72208e-06	4.64919e-06
9.15	1.00136e-05	4.82801e-06
9.1	5.66247e-06	2.62262e-06
9.05	5.18563e-06	4.82801e-06
9	7.21219e-06	3.21867e-06
8.95	4.17235e-06	4.47038e-06
8.9	6.25852e-06	4.29156e-06
8.85	6.37773e-06	4.11275e-06
8.8	5.24524e-06	4.11275e-06
8.75	6.79496e-06	4.88761e-06
8.7	6.49694e-06	4.7684e-06
8.65	5.66247e-06	3.51669e-06
8.6	5.06642e-06	4.05314e-06
8.55	7.74866e-06	5.18563e-06
8.5	1.12653e-05	6.19891e-06
8.45	1.10269e-05	6.0201e-06
8.4	7.51021e-06	6.25852e-06
8.35	9.41759e-06	5.60287e-06
8.3	1.05501e-05	5.96049e-06
8.25	1.25766e-05	5.96049e-06
8.2	1.32323e-05	6.0797e-06
8.15	1.06693e-05	6.13931e-06
8.1	7.15259e-06	5.24524e-06
8.05	8.82155e-06	3.27827e-06
8	1.00732e-05	4.17235e-06
7.95	8.16589e-06	4.7684e-06
7.9	7.21219e-06	4.58959e-06
7.85	6.97377e-06	4.41077e-06
7.8	8.34471e-06	3.99354e-06
7.75	1.00136e-05	4.23196e-06
7.7	1.10269e-05	5.18563e-06
7.65	9.71562e-06	3.39748e-06
7.6	1.1921e-05	3.51669e-06
7.55	1.30535e-05	4.82801e-06
7.5	1.4782e-05	2.56301e-06
7.45	2.66434e-05	2.02657e-06
7.4	0.000127614	-1.25766e-05
7.35	0.000241877	-5.68035e-05
7.3	0.000242532	-4.69091e-05
7.25	0.000251653	-5.4002e-05
