# k2200_voltage_set	lockin1_X	lockin1_Y
# "voltage"	"X"	"Y"
# 101
0	8.49372e-06	-1.2517e-06
0.15	8.67253e-06	-1.37091e-06
0.3	7.42081e-06	-9.83484e-07
0.45	4.38097e-06	-3.87432e-07
0.6	2.65242e-06	-1.78815e-07
0.75	1.87755e-06	-8.94074e-08
0.9	1.54973e-06	-2.98025e-08
1.05	1.37091e-06	-8.94074e-08
1.2	1.1623e-06	2.98025e-08
1.35	1.01329e-06	0
1.5	1.04309e-06	-2.98025e-08
1.65	9.23876e-07	-5.96051e-08
1.8	8.94073e-07	5.96051e-08
1.95	6.25852e-07	0
2.1	6.85457e-07	2.98025e-08
2.25	7.15259e-07	1.49013e-07
2.4	6.85457e-07	0
2.55	6.25852e-07	-8.94074e-08
2.7	5.9605e-07	5.96051e-08
2.85	5.36445e-07	2.98025e-08
3	4.76841e-07	2.98025e-08
3.15	5.9605e-07	0
3.3	4.47037e-07	-5.96051e-08
3.45	4.17234e-07	-2.98025e-08
3.6	3.5763e-07	0
3.75	3.87432e-07	0
3.9	4.47037e-07	0
4.05	3.87432e-07	0
4.2	3.27827e-07	2.98025e-08
4.35	3.5763e-07	0
4.5	3.27827e-07	0
4.65	3.27827e-07	0
4.8	3.27827e-07	-2.98025e-08
4.95	3.27827e-07	0
5.1	2.68223e-07	0
5.25	2.3842e-07	0
5.4	2.68223e-07	0
5.55	2.3842e-07	0
5.7	2.3842e-07	0
5.85	2.08617e-07	-5.96051e-08
6	2.3842e-07	0
6.15	2.08617e-07	0
6.3	2.08617e-07	-2.98025e-08
6.45	2.08617e-07	0
6.6	1.78815e-07	0
6.75	1.78815e-07	0
6.9	2.08617e-07	0
7.05	1.78815e-07	0
7.2	2.08617e-07	0
7.35	1.78815e-07	0
7.5	1.78815e-07	0
7.65	1.78815e-07	0
7.8	1.78815e-07	0
7.95	1.49013e-07	-2.98025e-08
8.1	1.49013e-07	-2.98025e-08
8.25	1.49013e-07	0
8.4	1.49013e-07	0
8.55	1.78815e-07	0
8.7	1.49013e-07	0
8.85	1.49013e-07	-2.98025e-08
9	1.49013e-07	-2.98025e-08
9.15	1.49013e-07	0
9.3	1.49013e-07	-5.96051e-08
9.45	1.78815e-07	0
9.6	1.49013e-07	2.98025e-08
9.75	1.1921e-07	0
9.9	1.49013e-07	0
10.05	1.49013e-07	0
10.2	1.1921e-07	0
10.35	1.1921e-07	-5.96051e-08
10.5	1.49013e-07	0
10.65	1.49013e-07	-2.98025e-08
10.8	1.1921e-07	-2.98025e-08
10.95	1.1921e-07	-2.98025e-08
11.1	1.49013e-07	0
11.25	1.49013e-07	0
11.4	8.94074e-08	0
11.55	8.94074e-08	0
11.7	1.1921e-07	-2.98025e-08
11.85	1.1921e-07	0
12	8.94074e-08	0
12.15	8.94074e-08	0
12.3	1.1921e-07	0
12.45	8.94074e-08	-2.98025e-08
12.6	1.49013e-07	0
12.75	1.1921e-07	0
12.9	1.1921e-07	0
13.05	1.1921e-07	0
13.2	8.94074e-08	0
13.35	1.1921e-07	0
13.5	1.1921e-07	0
13.65	1.1921e-07	0
13.8	8.94074e-08	0
13.95	8.94074e-08	0
14.1	8.94074e-08	0
14.25	8.94074e-08	0
14.4	8.94074e-08	-2.98025e-08
14.55	8.94074e-08	0
14.7	8.94074e-08	0
14.85	8.94074e-08	0
15	8.94074e-08	-2.98025e-08
