# k2200_voltage_set	lockin1_X	lockin1_Y
# "voltage"	"X"	"Y"
# 71
0	4.36308e-05	-6.13931e-06
0.5	3.11735e-05	-3.06965e-06
1	1.41264e-05	-3.5763e-07
1.5	9.5368e-06	-1.1921e-07
2	7.2718e-06	2.98025e-08
2.5	5.72208e-06	2.98025e-08
3	4.64919e-06	1.49013e-07
3.5	4.11275e-06	-5.96051e-08
4	3.6657e-06	0
4.5	3.06965e-06	5.96051e-08
5	2.83124e-06	2.98025e-08
5.5	2.65242e-06	2.98025e-08
6	2.3842e-06	2.98025e-08
6.5	2.11598e-06	5.96051e-08
7	2.02657e-06	5.96051e-08
7.5	1.93717e-06	2.98025e-08
8	1.84775e-06	2.98025e-08
8.5	1.63914e-06	2.98025e-08
9	1.54973e-06	2.98025e-08
9.5	1.51993e-06	2.98025e-08
10	1.49012e-06	0
10.5	1.37091e-06	2.98025e-08
11	1.28151e-06	2.98025e-08
11.5	1.2219e-06	0
12	1.2219e-06	2.98025e-08
12.5	1.1623e-06	0
13	1.1623e-06	2.98025e-08
13.5	1.07289e-06	2.98025e-08
14	1.04309e-06	0
14.5	1.01329e-06	2.98025e-08
15	9.53682e-07	2.98025e-08
15.5	9.83484e-07	0
16	9.53682e-07	2.98025e-08
16.5	9.23876e-07	2.98025e-08
17	9.23876e-07	0
17.5	8.94073e-07	2.98025e-08
18	8.64271e-07	0
18.5	8.64271e-07	2.98025e-08
19	8.64271e-07	2.98025e-08
19.5	8.04666e-07	0
20	8.34469e-07	2.98025e-08
20.5	8.04666e-07	2.98025e-08
21	7.74864e-07	2.98025e-08
21.5	7.74864e-07	2.98025e-08
22	7.45062e-07	2.98025e-08
22.5	7.45062e-07	2.98025e-08
23	7.45062e-07	0
23.5	7.15259e-07	0
24	7.45062e-07	2.98025e-08
24.5	7.15259e-07	0
25	7.15259e-07	0
25.5	6.85457e-07	0
26	6.85457e-07	2.98025e-08
26.5	6.25852e-07	5.96051e-08
27	6.55655e-07	2.98025e-08
27.5	6.55655e-07	0
28	6.55655e-07	0
28.5	6.55655e-07	-2.98025e-08
29	6.55655e-07	2.98025e-08
29.5	5.66248e-07	-5.96051e-08
30	7.15259e-07	-2.98025e-08
30.5	5.9605e-07	0
31	5.36445e-07	0
31.5	6.55655e-07	-5.96051e-08
32	6.25852e-07	-5.96051e-08
32.5	7.45062e-07	-1.1921e-07
33	7.15259e-07	-5.96051e-08
33.5	7.15259e-07	1.49013e-07
34	8.04666e-07	-2.98025e-08
34.5	6.55655e-07	2.98025e-08
35	5.06643e-07	0
