# ppms_temperature_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"volt"	"X"	"Y"	"X"	"Y"
# 19	601
20	-4.5	2.22774e-06	-1.36905e-07	1.6843e-06	-1.31317e-07
20	-4.48	2.23426e-06	-1.28523e-07	1.70479e-06	-1.23401e-07
20	-4.46	2.29386e-06	-1.22935e-07	1.68337e-06	-1.29455e-07
20	-4.44	2.29386e-06	-1.60188e-07	1.73879e-06	-1.27126e-07
20	-4.42	2.33018e-06	-1.83471e-07	1.71504e-06	-1.41096e-07
20	-4.4	2.35719e-06	-1.63914e-07	1.74624e-06	-1.68105e-07
20	-4.38	2.38606e-06	-1.1269e-07	1.75415e-06	-1.35974e-07
20	-4.36	2.37768e-06	-1.43425e-07	1.73646e-06	-1.30386e-07
20	-4.34	2.38979e-06	-1.56463e-07	1.79094e-06	-1.27126e-07
20	-4.32	2.42797e-06	-1.66708e-07	1.78256e-06	-9.5461e-08
20	-4.3	2.42984e-06	-1.78815e-07	1.79653e-06	-1.41096e-07
20	-4.28	2.47454e-06	-1.74158e-07	1.81422e-06	-1.25729e-07
20	-4.26	2.48106e-06	-1.76021e-07	1.82261e-06	-1.45753e-07
20	-4.24	2.49689e-06	-1.58326e-07	1.84403e-06	-1.53669e-07
20	-4.22	2.52576e-06	-1.41562e-07	1.83145e-06	-1.63448e-07
20	-4.2	2.52762e-06	-1.6112e-07	1.87895e-06	-1.41096e-07
20	-4.18	2.5714e-06	-1.7509e-07	1.86498e-06	-1.38768e-07
20	-4.16	2.58443e-06	-1.56463e-07	1.86219e-06	-1.69036e-07
20	-4.14	2.58164e-06	-1.62982e-07	1.88035e-06	-1.42959e-07
20	-4.12	2.58164e-06	-1.35043e-07	1.85008e-06	-1.41096e-07
20	-4.1	2.62914e-06	-1.8254e-07	1.88174e-06	-1.53203e-07
20	-4.08	2.64218e-06	-1.76021e-07	1.89385e-06	-1.59723e-07
20	-4.06	2.64776e-06	-1.62051e-07	1.93344e-06	-1.59723e-07
20	-4.04	2.65149e-06	-1.92785e-07	1.91155e-06	-1.55997e-07
20	-4.02	2.65708e-06	-1.70433e-07	1.8878e-06	-1.35508e-07
20	-4	2.67198e-06	-1.49944e-07	1.94415e-06	-1.34111e-07
20	-3.98	2.68315e-06	-1.55532e-07	1.93018e-06	-1.37837e-07
20	-3.96	2.68502e-06	-1.66708e-07	1.94275e-06	-1.63448e-07
20	-3.94	2.7232e-06	-1.63914e-07	1.95486e-06	-1.31783e-07
20	-3.92	2.72227e-06	-1.97441e-07	1.95579e-06	-1.45287e-07
20	-3.9	2.73438e-06	-1.95579e-07	1.94881e-06	-1.5041e-07
20	-3.88	2.72506e-06	-1.64845e-07	1.94694e-06	-1.59723e-07
20	-3.86	2.72227e-06	-1.86265e-07	1.96604e-06	-1.70433e-07
20	-3.84	2.76045e-06	-1.60188e-07	1.94089e-06	-1.37371e-07
20	-3.82	2.74369e-06	-2.02098e-07	1.90923e-06	-1.58791e-07
20	-3.8	2.77908e-06	-1.93716e-07	1.94648e-06	-1.68105e-07
20	-3.78	2.75766e-06	-1.64845e-07	1.97256e-06	-1.66242e-07
20	-3.76	2.75114e-06	-1.88128e-07	1.99211e-06	-1.43425e-07
20	-3.74	2.753e-06	-1.6857e-07	1.93484e-06	-1.45287e-07
20	-3.72	2.79771e-06	-1.73227e-07	1.98187e-06	-1.34111e-07
20	-3.7	2.79771e-06	-1.63914e-07	1.99211e-06	-1.76021e-07
20	-3.68	2.78001e-06	-1.36905e-07	2.00655e-06	-1.46684e-07
20	-3.66	2.77536e-06	-2.1048e-07	1.96604e-06	-1.42493e-07
20	-3.64	2.78001e-06	-1.83471e-07	1.98373e-06	-1.44356e-07
20	-3.62	2.81168e-06	-1.87197e-07	1.97349e-06	-1.50875e-07
20	-3.6	2.78094e-06	-2.00235e-07	1.96417e-06	-1.52272e-07
20	-3.58	2.76511e-06	-1.65776e-07	1.95719e-06	-1.45287e-07
20	-3.56	2.80702e-06	-1.8254e-07	1.96091e-06	-1.42959e-07
20	-3.54	2.79771e-06	-1.71364e-07	1.96185e-06	-1.63448e-07
20	-3.52	2.80423e-06	-1.66708e-07	1.95905e-06	-1.62982e-07
20	-3.5	2.77722e-06	-1.76021e-07	1.97582e-06	-1.44822e-07
20	-3.48	2.80888e-06	-2.00235e-07	1.94881e-06	-1.6112e-07
20	-3.46	2.79398e-06	-2.1048e-07	1.9828e-06	-1.39234e-07
20	-3.44	2.77815e-06	-2.03961e-07	1.96604e-06	-1.50875e-07
20	-3.42	2.82006e-06	-1.69502e-07	1.97488e-06	-1.67639e-07
20	-3.4	2.79771e-06	-1.56463e-07	1.96278e-06	-1.65776e-07
20	-3.38	2.79026e-06	-1.76952e-07	1.95626e-06	-1.49013e-07
20	-3.36	2.77256e-06	-1.90922e-07	1.96417e-06	-1.45753e-07
20	-3.34	2.79026e-06	-1.69502e-07	1.95486e-06	-1.74624e-07
20	-3.32	2.80143e-06	-1.85334e-07	1.92552e-06	-1.5041e-07
20	-3.3	2.76884e-06	-1.88128e-07	1.93158e-06	-1.40631e-07
20	-3.28	2.76977e-06	-1.57394e-07	1.93204e-06	-1.21539e-07
20	-3.26	2.80236e-06	-1.59257e-07	1.93297e-06	-1.37371e-07
20	-3.24	2.78094e-06	-1.66708e-07	1.93344e-06	-1.7509e-07
20	-3.22	2.80609e-06	-1.85334e-07	1.92459e-06	-1.42493e-07
20	-3.2	2.78094e-06	-1.77884e-07	1.89944e-06	-1.7183e-07
20	-3.18	2.79398e-06	-1.89059e-07	1.91668e-06	-1.47616e-07
20	-3.16	2.74369e-06	-1.90922e-07	1.88873e-06	-1.74158e-07
20	-3.14	2.7856e-06	-1.90922e-07	1.91062e-06	-1.61585e-07
20	-3.12	2.77908e-06	-1.79746e-07	1.91807e-06	-1.66708e-07
20	-3.1	2.76697e-06	-2.04892e-07	1.90363e-06	-1.39699e-07
