# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 601
-15	1.62237e-06	-7.45064e-09
-14.95	1.67453e-06	2.98025e-08
-14.9	1.61678e-06	5.21543e-08
-14.85	1.74158e-06	4.65664e-08
-14.8	1.79932e-06	-1.11759e-08
-14.75	1.66149e-06	-2.04892e-08
-14.7	1.74717e-06	6.14677e-08
-14.65	1.76579e-06	3.16652e-08
-14.6	1.88314e-06	-1.67639e-08
-14.55	1.81422e-06	6.33304e-08
-14.5	1.94834e-06	1.17347e-07
-14.45	1.91109e-06	-3.72531e-08
-14.4	1.88873e-06	4.65664e-08
-14.35	1.94648e-06	2.98025e-08
-14.3	1.99677e-06	-1.67639e-08
-14.25	2.00236e-06	-5.58796e-08
-14.2	2.00981e-06	4.65664e-08
-14.15	2.05079e-06	2.60771e-08
-14.1	2.08431e-06	1.86266e-08
-14.05	2.13088e-06	9.31328e-09
-14	2.12529e-06	4.09784e-08
-13.95	2.1998e-06	3.16652e-08
-13.9	2.37489e-06	-7.45064e-09
-13.85	2.47361e-06	3.35278e-08
-13.8	2.58909e-06	3.53905e-08
-13.75	2.753e-06	1.30386e-08
-13.7	2.94672e-06	1.04309e-07
-13.65	3.1572e-06	-2.42145e-08
-13.6	3.60423e-06	1.86266e-09
-13.55	4.89134e-06	6.89183e-08
-13.5	5.90648e-06	3.72532e-09
-13.45	6.04059e-06	-5.58796e-09
-13.4	5.97912e-06	-2.42145e-08
-13.35	5.86736e-06	4.28411e-08
-13.3	5.70904e-06	2.23519e-08
-13.25	5.69041e-06	8.00942e-08
-13.2	5.61218e-06	6.14677e-08
-13.15	5.64012e-06	1.30386e-08
-13.1	5.70904e-06	5.77422e-08
-13.05	5.7258e-06	3.53905e-08
-13	5.68855e-06	3.72531e-08
-12.95	5.80776e-06	2.98025e-08
-12.9	5.85246e-06	0
-12.85	5.92697e-06	-1.67639e-08
-12.8	5.8804e-06	9.31328e-09
-12.75	5.59169e-06	1.49013e-08
-12.7	5.84315e-06	-1.86266e-08
-12.65	5.79472e-06	-8.00942e-08
-12.6	5.62149e-06	-1.546e-07
-12.55	5.85991e-06	8.75448e-08
-12.5	5.8357e-06	-5.58796e-09
-12.45	5.85991e-06	1.86266e-08
-12.4	5.90461e-06	6.33304e-08
-12.35	5.83383e-06	6.5193e-08
-12.3	5.78168e-06	-1.09897e-07
-12.25	5.7258e-06	5.58796e-08
-12.2	5.55816e-06	-1.30386e-07
-12.15	5.63639e-06	-1.11759e-08
-12.1	5.79472e-06	0
-12.05	5.87109e-06	-7.45063e-08
-12	6.15793e-06	-2.04892e-08
-11.95	6.01824e-06	-4.65664e-08
-11.9	6.28832e-06	-3.35278e-08
-11.85	6.36469e-06	-1.86266e-08
-11.8	6.47272e-06	1.67639e-08
-11.75	6.5882e-06	2.23519e-08
-11.7	6.77633e-06	-2.42145e-08
-11.65	6.80241e-06	-1.67639e-07
-11.6	7.13955e-06	-9.31328e-09
-11.55	7.1917e-06	2.98025e-08
-11.5	7.23454e-06	-1.49013e-08
-11.45	7.12465e-06	3.53905e-08
-11.4	6.70183e-06	-9.6858e-08
-11.35	6.45782e-06	-4.47037e-08
-11.3	6.2045e-06	-5.58796e-09
-11.25	5.88226e-06	5.96051e-08
-11.2	5.6662e-06	1.09897e-07
-11.15	5.4166e-06	7.45063e-08
-11.1	5.41474e-06	-1.88128e-07
-11.05	5.35886e-06	4.09784e-08
-11	5.28808e-06	2.04892e-08
-10.95	5.18005e-06	2.79398e-08
-10.9	5.15956e-06	1.00583e-07
-10.85	5.04035e-06	2.98025e-08
-10.8	4.98633e-06	-3.35278e-08
-10.75	4.91927e-06	1.30386e-08
-10.7	4.79634e-06	-5.58796e-09
-10.65	4.64733e-06	-4.28411e-08
-10.6	4.74419e-06	1.4715e-07
-10.55	4.93976e-06	1.49013e-08
-10.5	4.76468e-06	8.56821e-08
-10.45	4.68086e-06	2.04892e-08
-10.4	4.76654e-06	-7.45063e-08
-10.35	4.77958e-06	-5.40169e-08
-10.3	4.7386e-06	-9.87206e-08
-10.25	4.84477e-06	-1.17347e-07
-10.2	4.85967e-06	-1.11759e-07
-10.15	4.51508e-06	-2.86849e-07
-10.1	4.84477e-06	1.58326e-07
-10.05	4.72556e-06	1.49013e-08
-10	4.89692e-06	-1.67639e-08
-9.95	4.90624e-06	-5.21543e-08
-9.9	4.92673e-06	3.16652e-08
-9.85	4.923e-06	-5.21543e-08
-9.8	5.01054e-06	2.23519e-08
-9.75	5.04035e-06	1.86266e-09
-9.7	4.83732e-06	-8.75448e-08
-9.65	4.62311e-06	-1.28523e-07
-9.6	4.65664e-06	-1.11759e-07
-9.55	4.60076e-06	2.98025e-08
-9.5	4.48342e-06	-1.67639e-08
-9.45	4.28225e-06	-5.58796e-09
-9.4	4.23755e-06	-1.546e-07
-9.35	4.20402e-06	3.72532e-09
-9.3	4.07363e-06	-1.49013e-07
-9.25	4.32137e-06	8.94074e-08
-9.2	4.25804e-06	-1.62051e-07
-9.15	4.11461e-06	-9.87206e-08
-9.1	4.26362e-06	-1.546e-07
-9.05	4.13883e-06	-8.94074e-08
-9	4.0606e-06	-1.91853e-07
-8.95	4.04942e-06	-8.38195e-08
-8.9	4.1649e-06	-3.72532e-09
-8.85	4.17794e-06	-4.73114e-07
-8.8	4.45361e-06	-3.59492e-07
-8.75	4.47969e-06	-1.546e-07
-8.7	3.99168e-06	-1.8254e-07
-8.65	4.16304e-06	-2.27244e-07
-8.6	4.35489e-06	-8.00942e-08
-8.55	4.31205e-06	-1.06171e-07
-8.5	4.00099e-06	-3.42729e-07
-8.45	4.31205e-06	-2.16068e-07
-8.4	4.11461e-06	-3.85569e-07
-8.35	4.09785e-06	-9.87206e-08
-8.3	4.15e-06	-1.43425e-07
-8.25	4.40891e-06	-8.94074e-08
-8.2	4.46106e-06	1.86266e-09
-8.15	4.43499e-06	-7.45064e-09
-8.1	4.52626e-06	1.21073e-07
-8.05	4.59331e-06	-1.91853e-07
-8	4.58772e-06	3.91158e-08
-7.95	4.64174e-06	1.99304e-07
-7.9	4.47969e-06	-8.94074e-08
-7.85	4.43871e-06	2.04892e-08
-7.8	4.53743e-06	-9.6858e-08
-7.75	4.41636e-06	1.30386e-08
-7.7	4.41636e-06	3.72532e-09
-7.65	4.65292e-06	1.00583e-07
-7.6	4.56351e-06	6.89183e-08
-7.55	4.67713e-06	-3.39003e-07
-7.5	4.63802e-06	-6.14677e-08
-7.45	4.52812e-06	-1.04309e-07
-7.4	4.70135e-06	-8.75448e-08
-7.35	4.55606e-06	7.63689e-08
-7.3	4.69576e-06	-1.30386e-08
-7.25	4.54302e-06	-1.52738e-07
-7.2	5.06084e-06	-1.32249e-07
-7.15	4.75164e-06	-1.60188e-07
-7.1	5.07574e-06	-4.8429e-08
-7.05	5.29367e-06	4.43311e-07
-7	4.91927e-06	5.58796e-08
-6.95	5.40356e-06	-1.67639e-08
-6.9	5.27504e-06	2.55184e-07
-6.85	5.11299e-06	1.546e-07
-6.8	5.5563e-06	7.26436e-08
-6.75	5.76492e-06	1.26661e-07
-6.7	5.96422e-06	-2.98025e-08
-6.65	6.08715e-06	-8.00942e-08
-6.6	6.0499e-06	2.42145e-08
-6.55	6.28087e-06	-2.04892e-08
-6.5	6.33675e-06	-1.49013e-08
-6.45	6.60124e-06	4.65664e-08
-6.4	6.59938e-06	9.6858e-08
-6.35	6.60124e-06	1.32249e-07
-6.3	6.67202e-06	1.34111e-07
-6.25	6.89554e-06	1.49013e-08
-6.2	6.91603e-06	-3.35278e-08
-6.15	7.05759e-06	-5.21543e-08
-6.1	6.83221e-06	9.87206e-08
-6.05	6.6683e-06	-4.8429e-08
-6	6.4988e-06	6.14677e-08
