# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 201
5.7	5.0545e-05	-1.49012e-06	4.52998e-06	2.98025e-08
5.65	5.16179e-05	-1.49012e-06	4.82801e-06	-2.98025e-08
5.6	5.26907e-05	-1.54973e-06	5.12603e-06	0
5.55	5.42405e-05	-1.78815e-06	5.27504e-06	2.98025e-08
5.5	5.56114e-05	-1.90736e-06	5.51346e-06	-5.96051e-08
5.45	5.66843e-05	-1.96697e-06	5.63267e-06	5.96051e-08
5.4	5.81148e-05	-2.08618e-06	5.63267e-06	2.98025e-08
5.35	5.93069e-05	-2.08618e-06	5.81148e-06	0
5.3	6.06778e-05	-2.26499e-06	5.9903e-06	-2.98025e-08
5.25	6.24661e-05	-2.3246e-06	6.19891e-06	-5.96051e-08
5.2	6.41947e-05	-2.4438e-06	6.49694e-06	0
5.15	6.62212e-05	-2.50341e-06	6.79496e-06	5.96051e-08
5.1	6.83074e-05	-2.74183e-06	7.21219e-06	2.98025e-08
5.05	7.06916e-05	-2.98025e-06	7.59962e-06	2.98025e-08
5	7.24797e-05	-3.15906e-06	7.98708e-06	8.94074e-08
4.95	7.44467e-05	-3.45708e-06	8.34471e-06	5.96051e-08
4.9	7.61752e-05	-3.6359e-06	8.55332e-06	2.98025e-08
4.85	7.77249e-05	-3.6359e-06	8.70234e-06	0
4.8	7.92746e-05	-3.81473e-06	8.79174e-06	0
4.75	8.11224e-05	-3.87433e-06	8.94075e-06	-5.96051e-08
4.7	8.30893e-05	-4.17235e-06	9.03016e-06	0
4.65	8.46391e-05	-4.29156e-06	9.05996e-06	0
4.6	8.63676e-05	-4.35117e-06	9.03016e-06	-2.98025e-08
4.55	8.77981e-05	-4.58959e-06	9.14937e-06	-8.94074e-08
4.5	8.89902e-05	-4.7684e-06	9.23878e-06	-8.94074e-08
4.45	8.95862e-05	-4.7684e-06	9.29838e-06	-8.94074e-08
4.4	8.98843e-05	-4.64919e-06	9.35799e-06	-8.94074e-08
4.35	9.04207e-05	-4.7088e-06	9.41759e-06	-8.94074e-08
4.3	9.04803e-05	-4.64919e-06	9.4772e-06	-8.94074e-08
4.25	9.03611e-05	-4.58959e-06	9.4772e-06	-1.1921e-07
4.2	8.97055e-05	-4.47038e-06	9.35799e-06	-1.1921e-07
4.15	8.89902e-05	-4.41077e-06	9.08977e-06	-1.1921e-07
4.1	8.82749e-05	-4.35117e-06	8.88115e-06	-1.1921e-07
4.05	8.77981e-05	-4.35117e-06	8.49372e-06	-1.78815e-07
4	8.71425e-05	-4.23196e-06	8.01688e-06	-8.94074e-08
3.95	8.59504e-05	-3.93394e-06	7.48041e-06	-8.94074e-08
3.9	8.42814e-05	-3.81473e-06	7.00357e-06	-1.78815e-07
3.85	8.18972e-05	-3.45708e-06	6.70555e-06	-1.1921e-07
3.8	7.92746e-05	-3.33787e-06	6.55654e-06	-1.1921e-07
3.75	7.67712e-05	-3.09946e-06	6.25852e-06	-1.78815e-07
3.7	7.44467e-05	-2.80143e-06	5.87109e-06	-1.1921e-07
3.65	7.1526e-05	-2.50341e-06	5.42405e-06	-5.96051e-08
3.6	6.83074e-05	-2.14578e-06	4.82801e-06	-8.94074e-08
3.55	6.5804e-05	-2.08618e-06	4.41077e-06	-1.1921e-07
3.5	6.34198e-05	-2.02657e-06	4.02334e-06	-1.49013e-07
3.45	6.10952e-05	-1.72854e-06	3.6061e-06	-5.96051e-08
3.4	5.94261e-05	-1.49012e-06	3.6061e-06	-5.96051e-08
3.35	5.71611e-05	-1.2517e-06	3.27827e-06	-2.98025e-08
3.3	5.45981e-05	-1.07289e-06	2.86104e-06	-5.96051e-08
3.25	5.17371e-05	-1.01329e-06	2.50341e-06	2.98025e-08
3.2	5.00085e-05	-9.53682e-07	1.78815e-06	-5.96051e-08
3.15	5.32272e-05	-1.1325e-06	9.53682e-07	-8.94074e-08
3.1	5.84128e-05	-1.60933e-06	5.66248e-07	-8.94074e-08
3.05	6.38966e-05	-2.14578e-06	5.66248e-07	-1.1921e-07
3	6.88438e-05	-2.3842e-06	8.04666e-07	-1.1921e-07
2.95	7.36122e-05	-2.62262e-06	7.15259e-07	-2.08617e-07
2.9	8.02879e-05	-3.15906e-06	1.49012e-06	-2.08617e-07
2.85	8.68444e-05	-3.87433e-06	2.11598e-06	-2.3842e-07
2.8	9.44738e-05	-4.7684e-06	2.74183e-06	-1.78815e-07
2.75	0.000100792	-5.60287e-06	3.57629e-06	-2.68223e-07
2.7	0.000107885	-6.43733e-06	4.91741e-06	-3.5763e-07
2.65	0.000117243	-7.86787e-06	6.52674e-06	-4.17234e-07
2.6	0.000128687	-9.4772e-06	8.13609e-06	-5.06643e-07
2.55	0.000133158	-1.01925e-05	9.77522e-06	-6.25852e-07
2.5	0.000136019	-1.07885e-05	1.12355e-05	-6.25852e-07
2.45	0.000137986	-1.10865e-05	1.2517e-05	-6.85457e-07
2.4	0.000139416	-1.15634e-05	1.34409e-05	-7.45062e-07
2.35	0.000141383	-1.20998e-05	1.37687e-05	-7.74864e-07
2.3	0.000143112	-1.25766e-05	1.33217e-05	-8.04666e-07
2.25	0.00014639	-1.31727e-05	1.24872e-05	-8.94073e-07
2.2	0.00015092	-1.44244e-05	1.20998e-05	-9.53682e-07
2.15	0.000157834	-1.59742e-05	1.24574e-05	-9.83484e-07
2.1	0.000165225	-1.78219e-05	1.30237e-05	-1.10269e-06
2.05	0.000174345	-2.03253e-05	1.4037e-05	-1.2517e-06
2	0.000185014	-2.32459e-05	1.53781e-05	-1.46032e-06
1.95	0.000195027	-2.63454e-05	1.67788e-05	-1.60933e-06
1.9	0.000206352	-2.99813e-05	1.81199e-05	-1.78815e-06
1.85	0.000218631	-3.40345e-05	1.97293e-05	-2.08618e-06
1.8	0.000231625	-3.88029e-05	2.15472e-05	-2.3544e-06
1.75	0.000244262	-4.35116e-05	2.36334e-05	-2.74183e-06
1.7	0.000258388	-4.92337e-05	2.58983e-05	-3.21867e-06
1.65	0.000271203	-5.45981e-05	2.76567e-05	-3.6955e-06
1.6	0.000283422	-6.04989e-05	2.84613e-05	-3.96374e-06
1.55	0.000296058	-6.66981e-05	2.84911e-05	-4.29156e-06
1.5	0.000305237	-7.16452e-05	2.83123e-05	-4.47038e-06
1.45	0.000316324	-7.80229e-05	2.81931e-05	-4.7684e-06
1.4	0.000331344	-8.65464e-05	2.867e-05	-5.21544e-06
1.35	0.000346007	-9.57255e-05	2.94746e-05	-5.60287e-06
1.3	0.000360968	-0.000105262	3.06072e-05	-6.13931e-06
1.25	0.000375213	-0.000115574	3.23656e-05	-6.79496e-06
1.2	0.000392796	-0.000128926	3.48391e-05	-7.68906e-06
1.15	0.000412406	-0.000145079	3.76406e-05	-8.70234e-06
1.1	0.000430824	-0.000162364	4.07102e-05	-1.01627e-05
1.05	0.000447931	-0.000179232	4.41077e-05	-1.15038e-05
1	0.000459852	-0.000192107	4.78926e-05	-1.28449e-05
0.949999999999999	0.000470104	-0.000203372	5.25119e-05	-1.4335e-05
0.9	0.000480594	-0.000216008	5.79657e-05	-1.58251e-05
0.85	0.000490729	-0.000228525	6.38668e-05	-1.75835e-05
0.799999999999999	0.000499014	-0.000237287	7.0483e-05	-1.94014e-05
0.75	0.00050557	-0.000243665	7.51023e-05	-2.1428e-05
0.699999999999999	0.000508491	-0.000246288	7.92746e-05	-2.30075e-05
0.65	0.000512186	-0.00024897	8.32682e-05	-2.4736e-05
0.6	0.000516836	-0.000253143	8.72617e-05	-2.6256e-05
0.549999999999999	0.000523809	-0.000261011	9.23579e-05	-2.80739e-05
0.5	0.000529591	-0.000266494	9.90038e-05	-2.97428e-05
0.449999999999999	0.000536207	-0.00027472	0.000106067	-3.20675e-05
0.399999999999999	0.000546161	-0.000288369	0.000113458	-3.5167e-05
0.35	0.000557963	-0.000302555	0.000121713	-3.77896e-05
0.299999999999999	0.000569884	-0.000318112	0.000129999	-4.09486e-05
0.25	0.000581864	-0.000334563	0.000137032	-4.37202e-05
0.199999999999999	0.000592355	-0.000349285	0.000143767	-4.58064e-05
0.149999999999999	0.000600521	-0.000361802	0.000149579	-4.77734e-05
0.0999999999999996	0.000604872	-0.000369968	0.000153453	-4.86972e-05
0.0499999999999989	0.000607494	-0.000373604	0.000157864	-4.97701e-05
0	0.000608567	-0.000373723	0.000160248	-5.03066e-05
