# k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "voltage"	"X"	"Y"	"X"	"Y"
# 221
11.2	2.70606e-05	0	3.87433e-06	2.98025e-08
11.1	2.7299e-05	-2.3842e-07	3.87433e-06	0
11	2.7299e-05	-2.3842e-07	3.90413e-06	0
10.9	2.74183e-05	-1.1921e-07	3.96374e-06	2.98025e-08
10.8	2.77759e-05	0	3.93394e-06	2.98025e-08
10.7	2.76567e-05	-1.1921e-07	3.99354e-06	0
10.6	2.77759e-05	-2.3842e-07	4.02334e-06	0
10.5	2.78951e-05	0	4.08295e-06	0
10.4	2.80143e-05	-1.1921e-07	4.08295e-06	0
10.3	2.82527e-05	-2.3842e-07	4.11275e-06	0
10.2	2.83719e-05	-1.1921e-07	4.14255e-06	0
10.1	2.83719e-05	-2.3842e-07	4.17235e-06	0
10	2.86103e-05	-2.3842e-07	4.20216e-06	0
9.9	2.87296e-05	-2.3842e-07	4.23196e-06	-2.98025e-08
9.8	2.88488e-05	-1.1921e-07	4.29156e-06	2.98025e-08
9.7	2.8968e-05	-2.3842e-07	4.32137e-06	0
9.6	2.90872e-05	-2.3842e-07	4.38097e-06	0
9.5	2.90872e-05	-2.3842e-07	4.41077e-06	2.98025e-08
9.4	2.93256e-05	0	4.41077e-06	0
9.3	2.9564e-05	0	4.47038e-06	0
9.2	2.9564e-05	0	4.47038e-06	2.98025e-08
9.1	2.99216e-05	-2.3842e-07	4.58959e-06	0
9	2.99216e-05	-3.5763e-07	4.61939e-06	0
8.9	3.00409e-05	-3.5763e-07	4.64919e-06	0
8.8	3.01601e-05	-2.3842e-07	4.67899e-06	0
8.7	3.02793e-05	-2.3842e-07	4.7386e-06	0
8.6	3.05178e-05	-3.5763e-07	4.7982e-06	0
8.5	3.05178e-05	-3.5763e-07	4.85781e-06	0
8.4	3.07562e-05	-3.5763e-07	4.85781e-06	0
8.3	3.09946e-05	-2.3842e-07	4.91741e-06	0
8.2	3.11139e-05	-1.1921e-07	4.97702e-06	0
8.1	3.13523e-05	-3.5763e-07	5.03662e-06	2.98025e-08
8	3.14715e-05	-3.5763e-07	5.09623e-06	0
7.9	3.15907e-05	-2.3842e-07	5.15583e-06	-2.98025e-08
7.8	3.19483e-05	-2.3842e-07	5.18563e-06	2.98025e-08
7.7	3.19483e-05	-2.3842e-07	5.24524e-06	0
7.6	3.24252e-05	-2.3842e-07	5.30484e-06	0
7.5	3.26636e-05	-3.5763e-07	5.36445e-06	-2.98025e-08
7.4	3.27828e-05	-2.3842e-07	5.39425e-06	0
7.3	3.2902e-05	-2.3842e-07	5.51346e-06	0
7.2	3.33788e-05	-2.3842e-07	5.57306e-06	0
7.1	3.3498e-05	-2.3842e-07	5.63267e-06	0
7	3.38557e-05	-3.5763e-07	5.69227e-06	0
6.9	3.39749e-05	-3.5763e-07	5.75188e-06	0
6.8	3.42133e-05	-2.3842e-07	5.84128e-06	0
6.7	3.45709e-05	-2.3842e-07	5.90089e-06	0
6.6	3.49286e-05	-2.3842e-07	5.9903e-06	0
6.5	3.52862e-05	-4.76841e-07	6.0499e-06	0
6.4	3.52862e-05	-4.76841e-07	6.13931e-06	0
6.3	3.56438e-05	-3.5763e-07	6.22871e-06	0
6.2	3.62399e-05	-3.5763e-07	6.28832e-06	-2.98025e-08
6.1	3.63591e-05	-3.5763e-07	6.40753e-06	0
6	3.67167e-05	-3.5763e-07	6.49694e-06	-2.98025e-08
5.9	3.71935e-05	-7.15259e-07	6.58634e-06	0
5.8	3.75512e-05	-4.76841e-07	6.67575e-06	0
5.7	3.79088e-05	-4.76841e-07	6.82476e-06	2.98025e-08
5.6	3.85048e-05	-3.5763e-07	6.88437e-06	2.98025e-08
5.5	3.89817e-05	-5.9605e-07	6.97377e-06	0
5.4	3.92201e-05	-4.76841e-07	7.09298e-06	0
5.3	3.96969e-05	-4.76841e-07	7.21219e-06	-2.98025e-08
5.2	4.0293e-05	-4.76841e-07	7.3314e-06	0
5.1	4.0889e-05	-4.76841e-07	7.45061e-06	-5.96051e-08
5	4.13659e-05	-5.9605e-07	7.56982e-06	0
4.9	4.19619e-05	-5.9605e-07	7.71886e-06	-2.98025e-08
4.8	4.25579e-05	-7.15259e-07	7.80827e-06	-2.98025e-08
4.7	4.29156e-05	-4.76841e-07	7.95728e-06	0
4.6	4.36308e-05	-5.9605e-07	8.10629e-06	-2.98025e-08
4.5	4.45845e-05	-7.15259e-07	8.2553e-06	0
4.4	4.51806e-05	-7.15259e-07	8.43412e-06	2.98025e-08
4.3	4.56574e-05	-8.34469e-07	8.58313e-06	-2.98025e-08
4.2	4.63726e-05	-7.15259e-07	8.76194e-06	2.98025e-08
4.1	4.72071e-05	-7.15259e-07	8.94075e-06	2.98025e-08
4	4.79224e-05	-7.15259e-07	9.11957e-06	0
3.9	4.91145e-05	-7.15259e-07	9.32819e-06	-2.98025e-08
3.8	4.97105e-05	-9.53682e-07	9.507e-06	-2.98025e-08
3.7	5.06642e-05	-7.15259e-07	9.77522e-06	-2.98025e-08
3.6	5.16179e-05	-9.53682e-07	9.95403e-06	-2.98025e-08
3.5	5.28099e-05	-7.15259e-07	1.01925e-05	-5.96051e-08
3.4	5.38828e-05	-1.07289e-06	1.04607e-05	-2.98025e-08
3.3	5.49557e-05	-1.1921e-06	1.07289e-05	-5.96051e-08
3.2	5.60286e-05	-1.31131e-06	1.09673e-05	-2.98025e-08
3.1	5.73399e-05	-1.31131e-06	1.12653e-05	-5.96051e-08
3	5.87704e-05	-1.31131e-06	1.15634e-05	-2.98025e-08
2.9	6.00817e-05	-1.31131e-06	1.18912e-05	-2.98025e-08
2.8	6.15125e-05	-1.43052e-06	1.21594e-05	-2.98025e-08
2.7	6.31814e-05	-1.54973e-06	1.25766e-05	-5.96051e-08
2.6	6.46119e-05	-1.54973e-06	1.29939e-05	-8.94074e-08
2.5	6.65192e-05	-1.54973e-06	1.33813e-05	-8.94074e-08
2.4	6.84266e-05	-1.66894e-06	1.37985e-05	-8.94074e-08
2.3	7.02147e-05	-1.90736e-06	1.42456e-05	-8.94074e-08
2.2	7.23605e-05	-2.14578e-06	1.47224e-05	-8.94074e-08
2.1	7.48639e-05	-2.14578e-06	1.52589e-05	-1.1921e-07
2	7.73673e-05	-2.14578e-06	1.58251e-05	-1.1921e-07
1.9	8.03475e-05	-2.50341e-06	1.63914e-05	-1.49013e-07
1.8	8.3447e-05	-2.62262e-06	1.7047e-05	-1.49013e-07
1.7	8.66656e-05	-2.98025e-06	1.77623e-05	-1.78815e-07
1.6	9.02419e-05	-3.21867e-06	1.84776e-05	-2.3842e-07
1.5	9.45334e-05	-3.45708e-06	1.93418e-05	-2.08617e-07
1.4	9.8825e-05	-3.6955e-06	2.02657e-05	-2.3842e-07
1.3	0.000103832	-3.93394e-06	2.1279e-05	-2.98025e-07
1.2	0.000109077	-4.64919e-06	2.23519e-05	-3.27827e-07
1.1	0.000115037	-5.00682e-06	2.35141e-05	-3.5763e-07
1	0.000121475	-5.60287e-06	2.48255e-05	-4.47037e-07
0.899999999999999	0.000128747	-6.31812e-06	2.6256e-05	-4.76841e-07
0.799999999999997	0.000136615	-7.15259e-06	2.77759e-05	-5.9605e-07
0.699999999999999	0.000144721	-8.10629e-06	2.94448e-05	-6.55655e-07
0.599999999999998	0.000153304	-8.82155e-06	3.11735e-05	-7.74864e-07
0.5	0.000162364	-9.89443e-06	3.3051e-05	-8.94073e-07
0.399999999999999	0.000171424	-1.10865e-05	3.48988e-05	-9.83484e-07
0.299999999999997	0.000180603	-1.23978e-05	3.66869e-05	-1.10269e-06
0.199999999999999	0.000188948	-1.34707e-05	3.84154e-05	-1.1921e-06
0.0999999999999979	0.0001961	-1.4782e-05	3.98459e-05	-1.2517e-06
0	0.000201703	-1.54973e-05	4.09188e-05	-1.34111e-06
