# k2200_voltage_set	lockin1_X	lockin1_Y
# "voltage"	"X"	"Y"
# 101
0	1.2517e-05	-5.06643e-07
0.15	1.38283e-05	-6.25852e-07
0.3	1.60636e-05	-9.23876e-07
0.45	1.94014e-05	-1.40072e-06
0.6	2.3544e-05	-2.05637e-06
0.75	2.9713e-05	-3.24847e-06
0.9	2.4736e-05	-2.59282e-06
1.05	1.85372e-05	-1.31131e-06
1.2	1.41264e-05	-7.15259e-07
1.35	1.19806e-05	-4.76841e-07
1.5	1.05203e-05	-3.5763e-07
1.65	9.59641e-06	-3.27827e-07
1.8	8.94075e-06	-2.68223e-07
1.95	8.34471e-06	-4.76841e-07
2.1	7.80827e-06	-4.76841e-07
2.25	7.56982e-06	-6.25852e-07
2.4	7.3314e-06	-7.45062e-07
2.55	6.97377e-06	-1.46032e-06
2.7	6.64595e-06	-2.68223e-07
2.85	5.81148e-06	-1.37091e-06
3	6.43733e-06	-3.87432e-07
3.15	7.3612e-06	-1.2219e-06
3.3	5.75188e-06	-2.08617e-07
3.45	5.36445e-06	-2.68223e-07
3.6	5.12603e-06	-8.94074e-08
3.75	4.94721e-06	-2.68223e-07
3.9	4.82801e-06	0
4.05	4.7088e-06	-1.1921e-07
4.2	4.61939e-06	-1.78815e-07
4.35	4.29156e-06	-1.1921e-07
4.5	4.41077e-06	-1.1921e-07
4.65	3.81473e-06	8.94074e-08
4.8	3.96374e-06	-2.08617e-07
4.95	3.99354e-06	2.68223e-07
5.1	3.18886e-06	-5.96051e-08
5.25	3.93394e-06	-5.96051e-08
5.4	3.51669e-06	-3.27827e-07
5.55	4.26176e-06	-4.17234e-07
5.7	3.45708e-06	-1.49013e-07
5.85	3.48689e-06	-5.36445e-07
6	3.21867e-06	-2.08617e-07
6.15	3.21867e-06	-3.5763e-07
6.3	3.12926e-06	-1.1921e-07
6.45	2.92064e-06	-8.94074e-08
6.6	3.18886e-06	-8.94074e-08
6.75	3.09946e-06	1.1921e-07
6.9	3.09946e-06	-5.96051e-08
7.05	3.18886e-06	-8.94074e-08
7.2	2.98025e-06	0
7.35	2.86104e-06	-5.96051e-08
7.5	2.89084e-06	-2.98025e-08
7.65	2.65242e-06	1.1921e-07
7.8	2.77163e-06	5.96051e-08
7.95	2.71203e-06	-1.78815e-07
8.1	2.71203e-06	0
8.25	2.56301e-06	0
8.4	2.68222e-06	2.98025e-08
8.55	2.65242e-06	-8.94074e-08
8.7	2.3544e-06	-1.1921e-07
8.85	2.3544e-06	1.78815e-07
9	2.71203e-06	1.78815e-07
9.15	2.4438e-06	-2.08617e-07
9.3	2.29479e-06	-2.98025e-08
9.45	2.414e-06	0
9.6	2.53321e-06	-1.1921e-07
9.75	2.53321e-06	8.94074e-08
9.9	2.47361e-06	5.96051e-08
10.05	2.29479e-06	-5.96051e-08
10.2	2.20539e-06	-1.1921e-07
10.35	2.20539e-06	-1.78815e-07
10.5	2.14578e-06	0
10.65	2.20539e-06	0
10.8	2.11598e-06	0
10.95	2.23519e-06	-8.94074e-08
11.1	2.20539e-06	8.94074e-08
11.25	2.05637e-06	5.96051e-08
11.4	2.02657e-06	1.1921e-07
11.55	2.3246e-06	-2.98025e-08
11.7	1.93717e-06	-5.96051e-08
11.85	2.08618e-06	5.96051e-08
12	1.93717e-06	-1.49013e-07
12.15	2.11598e-06	2.98025e-08
12.3	1.87755e-06	0
12.45	1.96697e-06	2.3842e-07
12.6	1.93717e-06	5.96051e-08
12.75	2.02657e-06	0
12.9	1.87755e-06	2.98025e-08
13.05	1.78815e-06	-2.98025e-08
13.2	1.87755e-06	-5.96051e-08
13.35	1.72854e-06	-1.49013e-07
13.5	1.87755e-06	2.08617e-07
13.65	1.75834e-06	-2.68223e-07
13.8	1.87755e-06	5.96051e-08
13.95	1.87755e-06	5.96051e-08
14.1	1.66894e-06	-8.94074e-08
14.25	1.66894e-06	5.96051e-08
14.4	1.78815e-06	-1.1921e-07
14.55	1.69874e-06	-1.78815e-07
14.7	1.51993e-06	1.49013e-07
14.85	1.72854e-06	-2.08617e-07
15	1.63914e-06	-2.98025e-08
