# srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"	"X"	"Y"
# 201
-2	6.37327e-05	-9.44739e-06	2.33055e-05	-8.00198e-06
-1.9	6.26151e-05	-8.50117e-06	2.30597e-05	-6.96632e-06
-1.8	5.91057e-05	-7.79337e-06	2.35663e-05	-6.84711e-06
-1.7	5.81595e-05	-7.53257e-06	2.31118e-05	-6.44478e-06
-1.6	5.79061e-05	-7.29415e-06	2.23593e-05	-5.96049e-06
-1.5	5.5291e-05	-7.16749e-06	2.075e-05	-5.82638e-06
-1.4	5.56114e-05	-7.10043e-06	1.96026e-05	-5.42405e-06
-1.3	5.33985e-05	-7.01103e-06	1.86117e-05	-5.62522e-06
-1.2	5.10218e-05	-6.83966e-06	1.78368e-05	-5.58796e-06
-1.1	4.90549e-05	-6.48948e-06	1.69949e-05	-5.10368e-06
-1	4.74381e-05	-5.96794e-06	1.63616e-05	-4.61194e-06
-0.9	4.96956e-05	-6.08715e-06	1.60561e-05	-4.29901e-06
-0.799999999999999	4.78404e-05	-5.64012e-06	1.62424e-05	-4.04569e-06
-0.699999999999999	4.39661e-05	-5.3421e-06	1.63541e-05	-4.34372e-06
-0.6	4.05984e-05	-5.34955e-06	1.68459e-05	-5.29739e-06
-0.5	3.84527e-05	-4.80565e-06	1.93716e-05	-5.46876e-06
-0.399999999999999	4.01589e-05	-4.90996e-06	2.15919e-05	-5.69227e-06
-0.299999999999999	4.1649e-05	-4.7684e-06	2.43114e-05	-5.69972e-06
-0.199999999999999	4.36979e-05	-5.07387e-06	2.90052e-05	-6.89182e-06
-0.0999999999999996	4.73114e-05	-5.70717e-06	3.54352e-05	-8.86625e-06
0	5.22661e-05	-6.713e-06	4.39885e-05	-1.17645e-05
0.100000000000001	5.57827e-05	-7.09298e-06	5.40467e-05	-1.37911e-05
0.200000000000001	5.38977e-05	-6.61614e-06	5.42107e-05	-1.32695e-05
0.300000000000001	4.90176e-05	-6.0946e-06	4.26548e-05	-1.10269e-05
0.4	4.47112e-05	-5.66992e-06	3.36098e-05	-9.14192e-06
0.5	4.11945e-05	-5.49856e-06	2.70606e-05	-8.37451e-06
0.600000000000001	3.85048e-05	-5.20798e-06	2.25232e-05	-7.2867e-06
0.700000000000001	3.7201e-05	-5.02917e-06	1.92077e-05	-6.29577e-06
0.800000000000001	3.72382e-05	-5.06642e-06	1.65628e-05	-5.63267e-06
0.9	4.21109e-05	-5.4613e-06	1.52962e-05	-4.7535e-06
1	4.94795e-05	-6.34047e-06	1.48565e-05	-4.36607e-06
1.1	5.44789e-05	-6.92162e-06	1.49757e-05	-4.11275e-06
1.2	6.21234e-05	-7.86042e-06	1.56687e-05	-4.03079e-06
1.3	5.85469e-05	-7.56982e-06	1.66596e-05	-4.40332e-06
1.4	5.37562e-05	-6.70555e-06	1.88426e-05	-4.84291e-06
1.5	5.00979e-05	-6.21381e-06	2.16664e-05	-5.58051e-06
1.6	4.90847e-05	-6.21381e-06	2.69191e-05	-7.03338e-06
1.7	4.81235e-05	-6.38518e-06	3.33714e-05	-9.32073e-06
1.8	4.63428e-05	-6.6534e-06	3.53383e-05	-1.12504e-05
1.9	4.41449e-05	-6.58634e-06	3.26636e-05	-1.11461e-05
2	4.41002e-05	-6.64595e-06	2.89382e-05	-1.0103e-05
2.1	4.39512e-05	-6.14676e-06	2.7761e-05	-8.52352e-06
2.2	4.51731e-05	-6.0201e-06	2.59654e-05	-7.41336e-06
2.3	4.74232e-05	-6.57144e-06	2.32385e-05	-7.05573e-06
2.4	4.81012e-05	-6.38518e-06	2.0668e-05	-5.85619e-06
2.5	4.64844e-05	-6.08715e-06	1.91258e-05	-5.29739e-06
2.6	4.75349e-05	-6.60869e-06	1.78219e-05	-5.58051e-06
2.7	4.86898e-05	-6.89182e-06	1.70619e-05	-5.52836e-06
2.8	4.94274e-05	-6.69065e-06	1.71365e-05	-5.22289e-06
2.9	4.83545e-05	-6.80241e-06	1.74792e-05	-5.57306e-06
3	4.71326e-05	-6.34792e-06	1.93418e-05	-5.87109e-06
3.1	4.72444e-05	-6.78006e-06	2.16515e-05	-7.16749e-06
3.2	4.8362e-05	-6.38518e-06	2.63975e-05	-7.45061e-06
3.3	4.74679e-05	-6.15421e-06	3.28424e-05	-8.829e-06
3.4	4.68569e-05	-6.17656e-06	3.67837e-05	-1.02074e-05
3.5	4.6626e-05	-6.16911e-06	3.50999e-05	-9.73052e-06
3.6	4.35638e-05	-5.86364e-06	3.06966e-05	-8.86625e-06
3.7	4.18576e-05	-5.76678e-06	2.89233e-05	-8.89605e-06
3.8	4.11721e-05	-5.30484e-06	2.93852e-05	-8.06904e-06
3.9	3.78045e-05	-4.83546e-06	3.06519e-05	-8.14354e-06
4	3.53234e-05	-4.39587e-06	3.13821e-05	-7.98708e-06
4.1	3.37663e-05	-4.52998e-06	3.08978e-05	-9.03016e-06
4.2	3.27977e-05	-4.29901e-06	2.9497e-05	-8.45647e-06
4.3	3.1397e-05	-3.97864e-06	2.85284e-05	-7.68906e-06
4.4	2.95044e-05	-3.70295e-06	2.74853e-05	-7.46551e-06
4.5	2.93032e-05	-3.58374e-06	2.60771e-05	-6.90672e-06
4.6	2.79696e-05	-3.27082e-06	2.51086e-05	-6.28087e-06
4.7	2.72543e-05	-3.23357e-06	2.40878e-05	-6.22126e-06
4.8	2.71202e-05	-3.06965e-06	2.40729e-05	-5.67737e-06
4.9	2.68148e-05	-3.0771e-06	2.35216e-05	-5.56561e-06
5	2.64273e-05	-3.10691e-06	2.26871e-05	-5.69972e-06
5.1	2.62187e-05	-3.09201e-06	2.22252e-05	-5.51346e-06
5.2	2.59803e-05	-3.0622e-06	2.17484e-05	-5.33464e-06
5.3	2.55184e-05	-2.9877e-06	2.09362e-05	-5.14093e-06
5.4	2.53321e-05	-3.23357e-06	1.96249e-05	-5.62522e-06
5.5	2.57866e-05	-3.05475e-06	1.94387e-05	-5.01427e-06
5.6	2.54737e-05	-3.01005e-06	1.88873e-05	-4.88761e-06
5.7	2.52054e-05	-3.0771e-06	1.86489e-05	-5.05152e-06
5.8	2.53544e-05	-2.92064e-06	1.89618e-05	-4.77585e-06
5.9	2.57344e-05	-2.71948e-06	1.94089e-05	-4.03079e-06
6	2.62187e-05	-2.60027e-06	1.98857e-05	-3.81473e-06
6.1	2.65763e-05	-2.58537e-06	1.98187e-05	-3.6806e-06
6.2	2.67999e-05	-2.59282e-06	2.0139e-05	-3.67315e-06
6.3	2.70383e-05	-2.59282e-06	2.0452e-05	-3.6508e-06
6.4	2.67552e-05	-2.54811e-06	2.13162e-05	-3.76256e-06
6.5	2.67253e-05	-2.54066e-06	2.28138e-05	-4.01589e-06
6.6	2.67477e-05	-2.60027e-06	2.4371e-05	-4.37352e-06
6.7	2.72618e-05	-2.66732e-06	2.56152e-05	-4.55233e-06
6.8	2.77163e-05	-2.80888e-06	2.45721e-05	-4.70135e-06
6.9	2.76716e-05	-2.95044e-06	2.39537e-05	-4.93976e-06
7	2.7977e-05	-2.96535e-06	2.35141e-05	-4.77585e-06
7.1	2.78057e-05	-2.93554e-06	2.31789e-05	-4.64174e-06
7.2	2.70159e-05	-2.68967e-06	2.3082e-05	-4.37352e-06
7.3	2.63305e-05	-2.76418e-06	2.32012e-05	-4.7088e-06
7.4	2.65018e-05	-2.91319e-06	2.29256e-05	-5.09623e-06
7.5	2.62038e-05	-3.24102e-06	2.25605e-05	-6.10951e-06
7.6	2.62783e-05	-2.83124e-06	2.39984e-05	-5.11113e-06
7.7	2.63901e-05	-2.81633e-06	2.45945e-05	-5.14838e-06
7.8	2.61219e-05	-2.67477e-06	2.49894e-05	-4.85781e-06
7.9	2.58015e-05	-2.68222e-06	2.48329e-05	-4.96212e-06
8	2.5794e-05	-2.62262e-06	2.49298e-05	-4.94721e-06
8.1	2.56003e-05	-2.68222e-06	2.47435e-05	-5.08133e-06
8.2	2.51682e-05	-2.67477e-06	2.48925e-05	-5.17818e-06
8.3	2.45125e-05	-2.54066e-06	2.5049e-05	-5.14838e-06
8.4	2.4058e-05	-2.58537e-06	2.50788e-05	-5.3868e-06
