# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 271
-13	5.90684e-05	-5.90089e-06
-12.9	6.16913e-05	-6.61614e-06
-12.8	5.33464e-05	-5.18563e-06
-12.7	5.33464e-05	-6.0797e-06
-12.6	7.17049e-05	-9.4772e-06
-12.5	7.25989e-05	-9.71562e-06
-12.4	9.28645e-05	-1.38879e-05
-12.3	0.000174821	-3.67167e-05
-12.2	0.000235201	-6.03201e-05
-12.1	0.000487449	-0.00023532
-12	0.000381174	-0.000145973
-11.9	0.0002898	-9.03015e-05
-11.8	0.000274004	-8.601e-05
-11.7	0.000320675	-0.000115097
-11.6	0.000347914	-0.00013733
-11.5	0.000409724	-0.000192345
-11.4	0.000263216	-9.31625e-05
-11.3	0.000275077	-0.000109554
-11.2	0.000413181	-0.00025362
-11.1	0.000273706	-0.000115514
-11	0.000251593	-0.000105799
-10.9	0.000230432	-0.000105024
-10.8	0.000185908	-8.85134e-05
-10.7	0.000111878	-3.72531e-05
-10.6	9.02419e-05	-2.40804e-05
-10.5	6.67577e-05	-1.40071e-05
-10.4	5.47173e-05	-9.95403e-06
-10.3	4.66111e-05	-7.56982e-06
-10.2	4.09486e-05	-5.90089e-06
-10.1	3.58226e-05	-4.88761e-06
-10	3.19483e-05	-4.05314e-06
-9.9	2.98024e-05	-3.57629e-06
-9.8	2.74183e-05	-3.21867e-06
-9.7	2.54513e-05	-2.92064e-06
-9.6	2.3842e-05	-2.74183e-06
-9.5	2.22923e-05	-2.4438e-06
-9.4	2.08617e-05	-2.20539e-06
-9.3	1.94312e-05	-2.08618e-06
-9.2	1.81795e-05	-1.84775e-06
-9.1	1.71066e-05	-1.66894e-06
-9	1.6153e-05	-1.60933e-06
-8.9	1.53185e-05	-1.54973e-06
-8.8	1.4484e-05	-1.49012e-06
-8.7	1.36495e-05	-1.31131e-06
-8.6	1.29343e-05	-1.2517e-06
-8.5	1.21594e-05	-1.1325e-06
-8.4	1.15634e-05	-1.1325e-06
-8.3	1.09673e-05	-1.01329e-06
-8.2	1.04905e-05	-8.94073e-07
-8.1	1.00732e-05	-8.94073e-07
-8	9.71562e-06	-8.34469e-07
-7.9	9.41759e-06	-8.94073e-07
-7.8	9.17917e-06	-7.74864e-07
-7.7	8.94075e-06	-8.34469e-07
-7.6	8.82155e-06	-7.74864e-07
-7.5	8.64273e-06	-8.34469e-07
-7.4	8.64273e-06	-7.74864e-07
-7.3	8.46392e-06	-7.74864e-07
