# srdc_volt_set	lockin2_X	lockin2_Y
# "volt"	"X"	"Y"
# 301
8	4.0606e-06	-1.22935e-06
7.95	4.11275e-06	-1.21445e-06
7.9	4.50763e-06	-1.19955e-06
7.85	5.43895e-06	-3.20377e-07
7.8	2.07872e-05	7.77846e-06
7.75	3.00111e-05	8.89605e-06
7.7	5.04034e-05	-2.3842e-05
7.65	9.16948e-05	-3.60685e-05
7.6	8.47657e-05	-3.95256e-05
7.55	7.64509e-05	-3.95405e-05
7.5	4.48378e-05	-3.04953e-05
7.45	6.51707e-05	-3.69551e-05
7.4	4.10008e-05	-2.62113e-05
7.35	2.98248e-05	-1.95504e-05
7.3	2.71277e-05	-1.38954e-05
7.25	2.44529e-05	-1.20924e-05
7.2	2.65763e-05	-1.43201e-05
7.15	3.7581e-05	-2.47733e-05
7.1	5.86438e-05	-3.25071e-05
7.05	6.83968e-05	-3.23954e-05
7	0.000122906	-4.14478e-05
6.95	0.000123971	-4.25729e-05
6.9	0.000117437	-2.75151e-05
6.85	0.000209064	-2.51086e-05
6.8	0.000132316	-3.28796e-05
6.75	0.000218437	-2.09437e-05
6.7	0.000218437	8.08394e-06
6.65	0.00018143	2.07425e-05
6.6	6.38892e-05	1.85372e-05
6.55	2.9497e-05	1.26437e-05
6.5	1.79188e-05	7.75611e-06
6.45	1.2368e-05	4.43312e-06
6.4	1.14143e-05	4.1649e-06
6.35	1.02744e-05	3.33042e-06
6.3	9.02271e-06	1.39327e-06
6.25	7.38355e-06	-6.70557e-08
6.2	7.09298e-06	-7.45063e-08
6.15	7.56237e-06	-8.94074e-08
6.1	7.29415e-06	-6.48204e-07
6.05	8.09139e-06	-2.45871e-07
6	7.97963e-06	-1.1921e-07
5.95	7.3463e-06	-3.87432e-07
5.9	7.08553e-06	-7.00358e-07
5.85	7.59217e-06	-4.32135e-07
5.8	7.73376e-06	-4.61938e-07
5.75	8.12864e-06	-3.35278e-07
5.7	8.03923e-06	-4.69388e-07
5.65	8.00943e-06	-5.14094e-07
5.6	8.94075e-06	-1.04309e-07
5.55	7.93493e-06	-4.47037e-07
5.5	8.31491e-06	-2.60772e-07
5.45	8.20315e-06	-2.60772e-07
5.4	7.54002e-06	-6.03501e-07
5.35	7.53257e-06	-8.5682e-07
5.3	7.16749e-06	-1.02074e-06
5.25	7.14514e-06	-1.29641e-06
5.2	6.78751e-06	-1.49012e-06
5.15	6.43733e-06	-1.56463e-06
5.1	6.28087e-06	-1.57953e-06
5.05	6.31812e-06	-1.71364e-06
5	6.39263e-06	-1.8403e-06
4.95	6.42243e-06	-1.98932e-06
4.9	6.60124e-06	-1.95952e-06
4.85	6.7428e-06	-1.95207e-06
4.8	7.03338e-06	-1.98187e-06
4.75	6.83966e-06	-2.13088e-06
4.7	6.63105e-06	-2.29479e-06
4.65	6.51929e-06	-2.29479e-06
4.6	6.53419e-06	-2.28734e-06
4.55	6.77261e-06	-2.14578e-06
4.5	6.87691e-06	-2.04147e-06
4.45	6.91417e-06	-2.11598e-06
4.4	7.01103e-06	-2.14578e-06
4.35	6.98867e-06	-2.19049e-06
4.3	6.96632e-06	-2.25009e-06
4.25	7.00357e-06	-2.25009e-06
4.2	7.14514e-06	-2.29479e-06
4.15	7.25689e-06	-2.30969e-06
4.1	7.24944e-06	-2.30969e-06
4.05	7.33885e-06	-2.4289e-06
4	7.42826e-06	-2.4289e-06
3.95	7.51766e-06	-2.53321e-06
3.9	7.68161e-06	-2.49596e-06
3.85	7.79337e-06	-2.58537e-06
3.8	7.71886e-06	-2.69712e-06
3.75	7.79337e-06	-2.66732e-06
3.7	7.78591e-06	-2.66732e-06
3.65	7.66671e-06	-2.83124e-06
3.6	7.52512e-06	-3.0473e-06
3.55	7.45061e-06	-3.08455e-06
3.5	7.51766e-06	-2.98025e-06
3.45	7.87532e-06	-2.76418e-06
3.4	8.20315e-06	-2.72693e-06
3.35	8.56823e-06	-2.75673e-06
3.3	8.48627e-06	-2.83124e-06
3.25	8.38941e-06	-2.80143e-06
